iucn_sid,sens,stressor,code,score_num
10074,FALSE,direct_human,1.2,NA
10074,FALSE,direct_human,1.3,NA
10074,FALSE,nutrient,9.1.1,NA
10074,FALSE,nutrient,9.1.2,NA
10074,FALSE,organic,9.1.2,NA
10074,FALSE,nutrient,9.3.1,NA
10082,FALSE,direct_human,1.1,NA
10082,FALSE,direct_human,1.2,NA
10082,FALSE,direct_human,1.3,NA
10083,FALSE,direct_human,1.1,NA
10083,FALSE,direct_human,1.2,NA
10083,FALSE,direct_human,1.3,NA
10083,FALSE,nutrient,9.1.1,NA
10083,FALSE,nutrient,9.1.2,NA
10083,FALSE,organic,9.1.2,NA
10083,FALSE,nutrient,9.3.1,NA
10088,TRUE,direct_human,1.1,7
10088,TRUE,direct_human,1.2,7
10088,FALSE,direct_human,1.3,NA
10088,FALSE,nutrient,9.1.1,NA
10088,FALSE,nutrient,9.1.2,NA
10088,FALSE,organic,9.1.2,NA
10088,FALSE,nutrient,9.3.1,NA
10089,FALSE,direct_human,1.1,NA
10089,FALSE,direct_human,1.2,NA
10089,FALSE,direct_human,1.3,NA
10089,FALSE,nutrient,9.1.1,NA
10089,FALSE,nutrient,9.1.2,NA
10089,FALSE,organic,9.1.2,NA
10089,FALSE,nutrient,9.3.1,NA
10268,TRUE,direct_human,1.2,3
10268,TRUE,nutrient,9.1.1,3
10268,TRUE,organic,9.2.1,3
10269,TRUE,organic,9.3.3,3
10340,FALSE,direct_human,6.1,NA
11140,FALSE,direct_human,6.1,NA
11143,TRUE,nutrient,2.4.2,3
11146,FALSE,direct_human,6.1,1
11150,FALSE,direct_human,1.1,NA
11150,FALSE,direct_human,1.2,NA
11150,FALSE,direct_human,1.3,NA
11150,FALSE,nutrient,2.4.1,NA
11150,FALSE,nutrient,2.4.2,NA
11150,FALSE,nutrient,9.1.1,NA
11150,FALSE,nutrient,9.1.2,NA
11150,FALSE,organic,9.1.2,NA
11150,FALSE,organic,9.2.1,NA
11150,FALSE,organic,9.2.2,NA
11150,FALSE,nutrient,9.3.1,NA
11150,FALSE,organic,9.3.3,NA
11534,TRUE,direct_human,1.1,4
11534,TRUE,direct_human,1.2,4
11534,TRUE,direct_human,1.3,4
11534,FALSE,nutrient,2.4.1,NA
11534,FALSE,nutrient,2.4.2,NA
11534,TRUE,direct_human,6.1,4
11534,FALSE,direct_human,6.3,NA
11534,TRUE,nutrient,9.1.1,4
11534,TRUE,light,9.6.1,4
11696,FALSE,direct_human,6.1,NA
12246,TRUE,direct_human,6.1,3
12302,TRUE,direct_human,1.1,3
12302,TRUE,direct_human,1.2,3
12302,TRUE,nutrient,2.4.3,3
12302,FALSE,nutrient,9.1.1,NA
12302,TRUE,organic,9.2.1,3
12303,TRUE,direct_human,1.1,3
12303,TRUE,direct_human,1.2,3
12303,TRUE,direct_human,1.3,3
12303,FALSE,direct_human,6.1,1
12303,TRUE,direct_human,6.3,3
12303,FALSE,organic,9.2.1,1
12305,TRUE,direct_human,1.1,3
12305,TRUE,direct_human,1.2,3
12305,FALSE,direct_human,1.3,1
12305,TRUE,nutrient,2.4.3,3
12305,FALSE,direct_human,6.1,1
12416,FALSE,direct_human,1.1,NA
12416,FALSE,direct_human,1.2,NA
12416,FALSE,direct_human,1.3,NA
12417,FALSE,direct_human,1.1,NA
12417,FALSE,direct_human,1.2,NA
12417,FALSE,direct_human,1.3,NA
12417,FALSE,nutrient,9.1.1,NA
12417,FALSE,nutrient,9.1.2,NA
12417,FALSE,organic,9.1.2,NA
12419,TRUE,direct_human,1.1,3
12419,TRUE,direct_human,1.2,3
12419,TRUE,direct_human,1.3,3
12419,TRUE,nutrient,2.4.3,3
12419,TRUE,direct_human,6.1,3
12419,TRUE,nutrient,9.1.1,3
12419,TRUE,organic,9.2.1,3
12421,TRUE,direct_human,1.1,3
12421,TRUE,nutrient,2.4.3,3
12421,TRUE,nutrient,9.1.1,3
12427,TRUE,direct_human,1.1,3
12427,TRUE,nutrient,2.4.3,3
12427,TRUE,nutrient,9.1.1,3
12695,TRUE,direct_human,1.1,5
12695,TRUE,direct_human,1.2,5
12695,TRUE,direct_human,1.3,5
12695,FALSE,direct_human,6.1,NA
