range_km2,iucn_sid
139124.56642931225,161462
1277319.62214333,161463
2157319.748969665,161464
NA,161465
438941.24680041504,161466
536635.3037134586,161468
6083.938122840235,161469
428808.91815879906,161470
3659733.729437989,161471
186916.70790665358,161473
71602.19701659889,161475
NA,161476
554811.1452110583,161477
102040.22590184389,161478
1422124.6848582823,161479
756401.9591457915,161480
229604.69862457743,161481
30733.18765197276,161483
NA,161484
NA,161485
736532.8843109846,161486
685433.7420862295,161487
32620.28257263659,161488
176927.59228992343,161489
136590.39269582106,161490
391551.67396710685,161491
243659.66979092173,161492
1267.9601203343716,161493
455367.9670885391,161494
NA,161495
NA,161496
356063.63585128414,161497
27664.58442419239,161498
235111.41799338892,161499
68892.49987150086,161500
1989872.166975976,161501
739.6434035283835,161502
4860.513794615091,161504
NA,161505
210394.92815362808,161506
2172959.6700813477,161507
373568.8207844173,161508
81421.9019267781,161509
4027122.554510649,161512
2564692.980397947,161513
54522.285174377976,161514
NA,161515
497441.1892065704,161516
7764963.325899146,161517
NA,161518
NA,161519
NA,161520
3401642.717415225,161521
22717.618822657492,161522
207893.93790565294,161523
NA,161524
153073.8742428483,161525
10510547.58420214,161526
579471.747036845,161527
29411.085988628038,161528
253885.4364193204,161529
NA,161530
14465.39903205791,161531
427546.1975177809,161532
290901.6632855427,161533
529942.7097058191,161534
587511.7668698138,161535
53077.928403805796,161536
10038.017613015749,161537
NA,161539
NA,161540
7829.566420303803,161541
2152488.0523860287,161542
1756149.217659279,161543
262037.23231094063,161544
389072.515021555,161545
NA,161546
NA,161547
61972.86075739568,161548
399210.08324138593,161549
19542.47901760848,161550
1148918.5752487606,161551
435251.7622981923,161552
610909.647994751,161553
395.58259957785583,161554
152397.10495443168,161555
137034.00407824563,161556
NA,161557
1557790.3048711598,161558
12036.015381253861,161559
659906.0023100288,161560
115384.37095042781,161561
323245.12537764997,161562
NA,161563
5713003.029176606,161564
60228.10571588265,161565
NA,161566
179301.9611653842,161567
NA,161568
3942737.7128078956,161569
NA,161570
9156.034339783604,161571
830823.0096282038,161574
215906.01376991483,161575
61551.080588729965,161576
129437.5956174671,161577
345010.9008434782,161578
5141331.158066466,161580
437897.712174571,161581
NA,161582
40680.38719406109,161583
87329.44341040206,161584
130569.32860936725,161585
1093585.9133255992,161586
914128.5134707376,161587
NA,161589
323817.977848777,161591
3275.5636441971265,161592
4015.20704772551,161593
2289433.858078537,161594
271527.72171715694,161595
NA,161596
132811310.90234518,161597
NA,161598
708026.4860944265,161600
640619.3857712519,161601
848183.2349355903,161602
33360.79921007242,161603
95304.84271319023,161604
413230.9976146001,161605
96166.74123496762,161606
NA,161607
24365.44301733442,161608
640070.9842951186,161610
NA,161611
2232686.530054647,161612
3482.524073209936,161613
182293.7183891046,161614
NA,161615
111921.93167738392,161616
30411.83137047761,161617
NA,161618
807310.7325920354,161619
38589.82485559054,161620
NA,161621
557438.7567864775,161622
1094434.7129890276,161623
1584.9501504179646,161624
423080.39303815673,161625
2052203.9337452012,161626
605763.5811958228,161628
216876.19535409534,161629
NA,161630
301489.8288875769,161631
4334.816842511696,161632
2666341.9898451488,161633
1436857.298511918,161634
1691691.9584532992,161635
1111956.4897623905,161636
108297.067701504,161637
4418.648906772002,161638
39418.53981893252,161639
NA,161640
569160.4018771583,161641
236130.5016431333,161642
276528.8288861071,161643
365091.3024268068,161644
NA,161645
31274.60313560948,161646
128828.93982349726,161647
NA,161648
881550.1468869323,161649
6900.42759340885,161650
53830.67054582379,161651
105346.35333111403,161652
493135.1897244189,161653
292571.31873826147,161655
300319.6728653056,161656
337506.1837062318,161658
101492.6976615862,161659
4860.513794615091,161660
2487984.0127877533,161661
NA,161662
165782.29273510905,161663
46803.62160794648,161664
268028.6057919084,161665
210270.0532887833,161666
4112.137888263587,161667
422.65337344479053,161668
1523235.7718261648,161669
50507.07812665247,161670
137631.30764907115,161672
908078.6320504934,161673
3494848.265168148,161674
323205.82905275293,161675
939424.8417851436,161676
NA,161677
79818.61352421039,161678
105940.16385373258,161679
NA,161680
49767.43472312408,161681
464368.5627917882,161682
181044.96971703926,161683
665225.8460250966,161685
362938.7391719024,161686
19864.708551905154,161688
NA,161689
15008.561027595702,161690
NA,161691
NA,161692
170998.2195807318,161693
355394.7257892715,161694
3345494.439273509,161695
201089140.90819246,161696
55033.1368792397,161697
500308.94480545464,161700
105714.86517571904,161701
97315.93923566303,161702
214472.1360014708,161703
8981.3841857018,161704
1242993.8807877514,161705
267227.83486861817,161706
1448639.1980094933,161707
36982.170176419175,161708
NA,161709
2218.0569577836277,161710
202523.4456878108,161711
37086.960266978844,161712
467719.226057057,161713
NA,161714
NA,161715
NA,161716
2339581.156939771,161717
135037.75281561058,161718
NA,161720
23864.19708699142,161721
820425.2126568739,161722
NA,161723
770191.4620146992,161724
NA,161725
69947.38679321176,161726
NA,161728
925199.586731087,161729
NA,161730
5316224.949207544,161731
545423.6994693112,161732
2263882.5405469574,161733
NA,161735
317.8632828851153,161736
627287.4662028453,161738
330642.4327180877,161739
6762.4539751166485,161740
88827.94168540918,161741
94038.62909216087,161742
NA,161743
NA,161744
87498.85405554727,161745
112848.45070975907,161746
NA,161747
NA,161748
484594.79717789177,16285718
2175544.492696577,16405644
NA,16405685
NA,16406269
NA,16406327
NA,16406486
814548.2351574979,16406525
NA,16406554
125812.73171706508,16406635
NA,16406679
30837.977742532436,16406919
NA,16406934
NA,16421352
NA,164280
NA,16440016
