iucn_sid,sens,stressor,code
132998,TRUE,shipping,4.3
132999,TRUE,shipping,4.3
133000,TRUE,shipping,4.3
133001,TRUE,shipping,4.3
133002,TRUE,shipping,4.3
133003,TRUE,shipping,4.3
133004,TRUE,shipping,4.3
133005,TRUE,shipping,4.3
133006,TRUE,shipping,4.3
133007,TRUE,shipping,4.3
133008,TRUE,shipping,4.3
133009,TRUE,shipping,4.3
133010,TRUE,shipping,4.3
133011,TRUE,shipping,4.3
133012,TRUE,shipping,4.3
133013,TRUE,shipping,4.3
133014,TRUE,shipping,4.3
133015,TRUE,shipping,4.3
133016,TRUE,shipping,4.3
133017,TRUE,shipping,4.3
133018,TRUE,shipping,4.3
133019,TRUE,shipping,4.3
133020,TRUE,shipping,4.3
133021,TRUE,shipping,4.3
133022,TRUE,shipping,4.3
133023,TRUE,shipping,4.3
133024,TRUE,shipping,4.3
133025,TRUE,shipping,4.3
133026,TRUE,shipping,4.3
133027,TRUE,shipping,4.3
133028,TRUE,shipping,4.3
133029,TRUE,shipping,4.3
133030,TRUE,shipping,4.3
133031,TRUE,shipping,4.3
133032,TRUE,shipping,4.3
133033,TRUE,shipping,4.3
133034,TRUE,shipping,4.3
133035,TRUE,shipping,4.3
133036,TRUE,shipping,4.3
133037,TRUE,shipping,4.3
133038,TRUE,shipping,4.3
133039,TRUE,shipping,4.3
133040,TRUE,shipping,4.3
133041,TRUE,shipping,4.3
133042,TRUE,shipping,4.3
133043,TRUE,shipping,4.3
133044,TRUE,shipping,4.3
133045,TRUE,shipping,4.3
133046,TRUE,shipping,4.3
133047,TRUE,shipping,4.3
133048,TRUE,shipping,4.3
133049,TRUE,shipping,4.3
133050,TRUE,shipping,4.3
133051,TRUE,shipping,4.3
133052,TRUE,shipping,4.3
133053,TRUE,shipping,4.3
133054,TRUE,shipping,4.3
133055,TRUE,shipping,4.3
133056,TRUE,shipping,4.3
133057,TRUE,shipping,4.3
133058,TRUE,shipping,4.3
133059,TRUE,shipping,4.3
133060,TRUE,shipping,4.3
133061,TRUE,shipping,4.3
133062,TRUE,shipping,4.3
133063,TRUE,shipping,4.3
133064,TRUE,shipping,4.3
133065,TRUE,shipping,4.3
133066,TRUE,shipping,4.3
133067,TRUE,shipping,4.3
133068,TRUE,shipping,4.3
133069,TRUE,shipping,4.3
133070,TRUE,shipping,4.3
133071,TRUE,shipping,4.3
133072,TRUE,shipping,4.3
133073,TRUE,shipping,4.3
133074,TRUE,shipping,4.3
133075,TRUE,shipping,4.3
133076,TRUE,shipping,4.3
133077,TRUE,shipping,4.3
133078,TRUE,shipping,4.3
133079,TRUE,shipping,4.3
133080,TRUE,shipping,4.3
133081,TRUE,shipping,4.3
133082,TRUE,shipping,4.3
133083,TRUE,shipping,4.3
133084,TRUE,shipping,4.3
133085,TRUE,shipping,4.3
133086,TRUE,shipping,4.3
133087,TRUE,shipping,4.3
133088,TRUE,shipping,4.3
133089,TRUE,shipping,4.3
133090,TRUE,shipping,4.3
133091,TRUE,shipping,4.3
133092,TRUE,shipping,4.3
133093,TRUE,shipping,4.3
133094,TRUE,shipping,4.3
133095,TRUE,shipping,4.3
133096,TRUE,shipping,4.3
133097,TRUE,shipping,4.3
133098,TRUE,shipping,4.3
133099,TRUE,shipping,4.3
133100,TRUE,shipping,4.3
133101,TRUE,shipping,4.3
133102,TRUE,shipping,4.3
133103,TRUE,shipping,4.3
133104,TRUE,shipping,4.3
