iucn_sid,stressor,count
132946,oa,4
132946,slr,0
132946,sst,6
132947,oa,4
132947,slr,0
132947,sst,6
132948,oa,4
132948,slr,0
132948,sst,6
132949,oa,2
132949,slr,0
132949,sst,2
132950,oa,4
132950,slr,0
132950,sst,6
132951,oa,4
132951,slr,0
132951,sst,6
132952,oa,4
132952,slr,0
132952,sst,6
132953,oa,4
132953,slr,0
132953,sst,6
132954,oa,4
132954,slr,0
132954,sst,6
132955,oa,2
132955,slr,0
132955,sst,2
132956,oa,4
132956,slr,0
132956,sst,6
132957,oa,4
132957,slr,0
132957,sst,6
132958,oa,4
132958,slr,0
132958,sst,6
132959,oa,4
132959,slr,0
132959,sst,6
132960,oa,4
132960,slr,0
132960,sst,6
132961,oa,4
132961,slr,0
132961,sst,6
132962,oa,4
132962,slr,0
132962,sst,6
132963,oa,4
132963,slr,0
132963,sst,2
132964,oa,4
132964,slr,0
132964,sst,6
132965,oa,4
132965,slr,0
132965,sst,6
132966,oa,4
132966,slr,0
132966,sst,6
132967,oa,4
132967,slr,0
132967,sst,6
132968,oa,4
132968,slr,0
132968,sst,6
132969,oa,4
132969,slr,0
132969,sst,6
132970,oa,4
132970,slr,0
132970,sst,2
132971,oa,4
132971,slr,0
132971,sst,6
132972,oa,4
132972,slr,0
132972,sst,6
132973,oa,4
132973,slr,0
132973,sst,6
132974,oa,4
132974,slr,0
132974,sst,6
132975,oa,4
132975,slr,0
132975,sst,6
132976,oa,4
132976,slr,0
132976,sst,6
132977,oa,4
132977,slr,0
132977,sst,6
132978,oa,4
132978,slr,0
132978,sst,6
132979,oa,4
132979,slr,0
132979,sst,6
132980,oa,4
132980,slr,0
132980,sst,6
132981,oa,4
132981,slr,0
132981,sst,6
132982,oa,4
132982,slr,0
132982,sst,6
132983,oa,4
132983,slr,0
132983,sst,6
132984,oa,4
132984,slr,0
132984,sst,6
132985,oa,4
132985,slr,0
132985,sst,6
132986,oa,4
132986,slr,0
132986,sst,6
132987,oa,4
132987,slr,0
132987,sst,6
132988,oa,4
132988,slr,0
132988,sst,6
132989,oa,4
132989,slr,0
132989,sst,6
132990,oa,4
132990,slr,0
132990,sst,6
132991,oa,4
132991,slr,0
132991,sst,6
132992,oa,4
132992,slr,0
132992,sst,6
132993,oa,4
132993,slr,0
132993,sst,6
132994,oa,4
132994,slr,0
132994,sst,6
132995,oa,2
132995,slr,0
132995,sst,2
132996,oa,4
132996,slr,0
132996,sst,6
132997,oa,4
132997,slr,0
132997,sst,6
132998,oa,4
132998,slr,0
132998,sst,6
132999,oa,4
132999,slr,0
132999,sst,6
133000,oa,4
133000,slr,0
133000,sst,6
133001,oa,2
133001,slr,0
133001,sst,2
133002,oa,4
133002,slr,0
133002,sst,6
133003,oa,4
133003,slr,0
133003,sst,6
133004,oa,4
133004,slr,0
133004,sst,6
133005,oa,4
133005,slr,0
133005,sst,6
133006,oa,6
133006,slr,0
133006,sst,2
133007,oa,4
133007,slr,0
133007,sst,6
133008,oa,4
133008,slr,0
133008,sst,6
133009,oa,4
133009,slr,0
133009,sst,6
133010,oa,4
133010,slr,0
133010,sst,6
133011,oa,4
133011,slr,0
133011,sst,6
133012,oa,4
133012,slr,0
133012,sst,2
133013,oa,4
133013,slr,0
133013,sst,6
133014,oa,2
133014,slr,0
133014,sst,2
133015,oa,4
133015,slr,0
133015,sst,6
133016,oa,4
133016,slr,0
133016,sst,6
133017,oa,4
133017,slr,0
133017,sst,6
133018,oa,4
133018,slr,0
133018,sst,6
133019,oa,4
133019,slr,0
133019,sst,6
133020,oa,4
133020,slr,0
133020,sst,6
133021,oa,4
133021,slr,0
133021,sst,6
133022,oa,4
133022,slr,0
133022,sst,6
133023,oa,4
133023,slr,0
133023,sst,6
133024,oa,4
133024,slr,0
133024,sst,6
133025,oa,4
133025,slr,0
133025,sst,6
133026,oa,4
133026,slr,0
133026,sst,6
133027,oa,4
133027,slr,1
133027,sst,6
133028,oa,4
133028,slr,0
133028,sst,6
133029,oa,4
133029,slr,0
133029,sst,6
133030,oa,4
133030,slr,0
133030,sst,6
133031,oa,4
133031,slr,0
133031,sst,6
133032,oa,4
133032,slr,0
133032,sst,6
133033,oa,4
133033,slr,0
133033,sst,6
133034,oa,4
133034,slr,0
133034,sst,6
133035,oa,4
133035,slr,0
133035,sst,6
133036,oa,4
133036,slr,0
133036,sst,6
133037,oa,4
133037,slr,0
133037,sst,6
133038,oa,4
133038,slr,0
133038,sst,6
133039,oa,4
133039,slr,0
133039,sst,6
133040,oa,4
133040,slr,0
133040,sst,6
133041,oa,4
133041,slr,0
133041,sst,6
133042,oa,2
133042,slr,0
133042,sst,6
133043,oa,4
133043,slr,0
133043,sst,6
133044,oa,4
133044,slr,0
133044,sst,6
133045,oa,4
133045,slr,0
133045,sst,6
133046,oa,4
133046,slr,0
133046,sst,6
133047,oa,4
133047,slr,0
133047,sst,6
133048,oa,4
133048,slr,0
133048,sst,6
133049,oa,4
133049,slr,0
133049,sst,6
133050,oa,4
133050,slr,0
133050,sst,6
133051,oa,2
133051,slr,0
133051,sst,2
133052,oa,4
133052,slr,0
133052,sst,6
133053,oa,4
133053,slr,0
133053,sst,6
133054,oa,2
133054,slr,0
133054,sst,2
133055,oa,4
133055,slr,0
133055,sst,6
133056,oa,4
133056,slr,0
133056,sst,6
133057,oa,4
133057,slr,0
133057,sst,6
133058,oa,4
133058,slr,0
133058,sst,6
133059,oa,4
133059,slr,0
133059,sst,6
133060,oa,4
133060,slr,0
133060,sst,6
133061,oa,4
133061,slr,0
133061,sst,6
133062,oa,4
133062,slr,0
133062,sst,6
133063,oa,4
133063,slr,0
133063,sst,6
133064,oa,4
133064,slr,0
133064,sst,6
133065,oa,4
133065,slr,0
133065,sst,6
133066,oa,4
133066,slr,0
133066,sst,6
133067,oa,4
