iucn_sid,cat_score,sens,code,stressor,score_num
65365349,0.4,FALSE,11.3,oa,NA
65365681,0,FALSE,11.1,sst,NA
65365681,0,FALSE,11.1,slr,NA
65365681,0,FALSE,11.1,oa,NA
65365681,0,FALSE,11.3,sst,NA
65365681,0,FALSE,11.3,oa,NA
65365759,0,FALSE,11.1,sst,NA
65365759,0,FALSE,11.1,slr,NA
65365759,0,FALSE,11.1,oa,NA
65365759,0,FALSE,11.3,sst,NA
65365759,0,FALSE,11.3,oa,NA
65365899,0,FALSE,11.1,sst,NA
65365899,0,FALSE,11.1,slr,NA
65365899,0,FALSE,11.1,oa,NA
65365899,0,FALSE,11.3,sst,NA
65365899,0,FALSE,11.3,oa,NA
65365975,NA,FALSE,11.1,sst,NA
65365975,NA,FALSE,11.1,slr,NA
65365975,NA,FALSE,11.1,oa,NA
65365975,NA,FALSE,11.3,sst,NA
65365975,NA,FALSE,11.3,oa,NA
65366073,0,FALSE,11.1,sst,NA
65366073,0,FALSE,11.1,slr,NA
65366073,0,FALSE,11.1,oa,NA
65366073,0,FALSE,11.3,sst,NA
65366073,0,FALSE,11.3,oa,NA
65366280,0,FALSE,11.1,sst,NA
65366280,0,FALSE,11.1,slr,NA
65366280,0,FALSE,11.1,oa,NA
65366280,0,FALSE,11.3,sst,NA
65366280,0,FALSE,11.3,oa,NA
65366377,0,FALSE,11.1,sst,NA
65366377,0,FALSE,11.1,slr,NA
65366377,0,FALSE,11.1,oa,NA
65366377,0,FALSE,11.3,sst,NA
65366377,0,FALSE,11.3,oa,NA
65366458,NA,FALSE,11.1,sst,NA
65366458,NA,FALSE,11.1,slr,NA
65366458,NA,FALSE,11.1,oa,NA
65366458,NA,FALSE,11.3,sst,NA
65366458,NA,FALSE,11.3,oa,NA
65366672,0,FALSE,11.1,sst,NA
65366672,0,FALSE,11.1,slr,NA
65366672,0,FALSE,11.1,oa,NA
65366672,0,FALSE,11.3,sst,NA
65366672,0,FALSE,11.3,oa,NA
65367054,0,FALSE,11.1,sst,NA
65367054,0,FALSE,11.1,slr,NA
65367054,0,FALSE,11.1,oa,NA
65367054,0,FALSE,11.3,sst,NA
65367054,0,FALSE,11.3,oa,NA
65367059,0,FALSE,11.1,sst,NA
65367059,0,FALSE,11.1,slr,NA
65367059,0,FALSE,11.1,oa,NA
65367059,0,FALSE,11.3,sst,NA
65367059,0,FALSE,11.3,oa,NA
65367204,0,FALSE,11.1,sst,NA
65367204,0,FALSE,11.1,slr,NA
65367204,0,FALSE,11.1,oa,NA
65367204,0,FALSE,11.3,sst,NA
65367204,0,FALSE,11.3,oa,NA
65367303,NA,FALSE,11.1,sst,NA
65367303,NA,FALSE,11.1,slr,NA
65367303,NA,FALSE,11.1,oa,NA
65367303,NA,FALSE,11.3,sst,NA
65367303,NA,FALSE,11.3,oa,NA
65367328,0,FALSE,11.1,sst,NA
65367328,0,FALSE,11.1,slr,NA
65367328,0,FALSE,11.1,oa,NA
65367328,0,FALSE,11.3,sst,NA
65367328,0,FALSE,11.3,oa,NA
65367364,NA,FALSE,11.1,sst,NA
65367364,NA,FALSE,11.1,slr,NA
65367364,NA,FALSE,11.1,oa,NA
65367364,NA,FALSE,11.3,sst,NA
65367364,NA,FALSE,11.3,oa,NA
65367461,0,FALSE,11.1,sst,NA
65367461,0,FALSE,11.1,slr,NA
65367461,0,FALSE,11.1,oa,NA
65367461,0,FALSE,11.3,sst,NA
65367461,0,FALSE,11.3,oa,NA
65367566,0,FALSE,11.1,sst,NA
65367566,0,FALSE,11.1,slr,NA
65367566,0,FALSE,11.1,oa,NA
65367566,0,FALSE,11.3,sst,NA
65367566,0,FALSE,11.3,oa,NA
65367574,0,FALSE,11.1,sst,NA
65367574,0,FALSE,11.1,slr,NA
65367574,0,FALSE,11.1,oa,NA
65367574,0,FALSE,11.3,sst,NA
65367574,0,FALSE,11.3,oa,NA
65367712,0,FALSE,11.1,sst,NA
65367712,0,FALSE,11.1,slr,NA
65367712,0,FALSE,11.1,oa,NA
65367712,0,FALSE,11.3,sst,NA
65367712,0,FALSE,11.3,oa,NA
65367783,0,FALSE,11.1,sst,NA
65367783,0,FALSE,11.1,slr,NA
65367783,0,FALSE,11.1,oa,NA
65367783,0,FALSE,11.3,sst,NA
65367783,0,FALSE,11.3,oa,NA
65367942,0,FALSE,11.1,sst,NA
65367942,0,FALSE,11.1,slr,NA
65367942,0,FALSE,11.1,oa,NA
65367942,0,FALSE,11.3,sst,NA
65367942,0,FALSE,11.3,oa,NA
65368759,0,FALSE,11.1,sst,NA
65368759,0,FALSE,11.1,slr,NA
65368759,0,FALSE,11.1,oa,NA
65368759,0,FALSE,11.3,sst,NA
65368759,0,FALSE,11.3,oa,NA
65368802,NA,FALSE,11.1,sst,NA
65368802,NA,FALSE,11.1,slr,NA
65368802,NA,FALSE,11.1,oa,NA
65368802,NA,FALSE,11.3,sst,NA
65368802,NA,FALSE,11.3,oa,NA
65369305,0,FALSE,11.1,sst,NA
65369305,0,FALSE,11.1,slr,NA
65369305,0,FALSE,11.1,oa,NA
65369305,0,FALSE,11.3,sst,NA
65369305,0,FALSE,11.3,oa,NA
65370522,NA,FALSE,11.1,sst,NA
65370522,NA,FALSE,11.1,slr,NA
65370522,NA,FALSE,11.1,oa,NA
65370522,NA,FALSE,11.3,sst,NA
65370522,NA,FALSE,11.3,oa,NA
65370525,0,FALSE,11.1,sst,NA
65370525,0,FALSE,11.1,slr,NA
65370525,0,FALSE,11.1,oa,NA
65370525,0,FALSE,11.3,sst,NA
65370525,0,FALSE,11.3,oa,NA
65370744,0,FALSE,11.1,sst,NA
65370744,0,FALSE,11.1,slr,NA
65370744,0,FALSE,11.1,oa,NA
65370744,0,FALSE,11.3,sst,NA
65370744,0,FALSE,11.3,oa,NA
65371194,0,FALSE,11.1,sst,NA
65371194,0,FALSE,11.1,slr,NA
65371194,0,FALSE,11.1,oa,NA
65371194,0,FALSE,11.3,sst,NA
