rgn_id,rgn_label,m49_code,iso3c,georgn,geosubrgn
153,Cook Islands,184,COK,Oceania,Polynesia
154,Niue,570,NIU,Oceania,Polynesia
155,Tonga,776,TON,Oceania,Polynesia
156,Tokelau,772,TKL,Oceania,Polynesia
162,New Zealand,554,NZL,Oceania,Australia and New Zealand
163,United States of America,840,USA,Northern America,Northern America
164,Belize,84,BLZ,Latin America and the Caribbean,Central America
166,Jamaica,388,JAM,Latin America and the Caribbean,Caribbean
167,Guyana,328,GUY,Latin America and the Caribbean,South America
168,Suriname,740,SUR,Latin America and the Caribbean,South America
169,French Guiana,254,GUF,Latin America and the Caribbean,South America
171,Brazil,76,BRA,Latin America and the Caribbean,South America
172,Argentina,32,ARG,Latin America and the Caribbean,South America
173,Uruguay,858,URY,Latin America and the Caribbean,South America
174,Finland,246,FIN,Europe,Northern Europe
175,Denmark,208,DNK,Europe,Northern Europe
176,Germany,276,DEU,Europe,Western Europe
177,Netherlands,528,NLD,Europe,Western Europe
178,Poland,616,POL,Europe,Eastern Europe
179,France,250,FRA,Europe,Western Europe
181,Ireland,372,IRL,Europe,Northern Europe
182,Spain,724,ESP,Europe,Southern Europe
183,Portugal,620,PRT,Europe,Southern Europe
184,Italy,380,ITA,Europe,Southern Europe
185,Monaco,492,MCO,Europe,Western Europe
186,Montenegro,499,MNE,Europe,Southern Europe
187,Croatia,191,HRV,Europe,Southern Europe
188,Slovenia,705,SVN,Europe,Southern Europe
189,Lithuania,440,LTU,Europe,Northern Europe
190,Qatar,634,QAT,Asia,Western Asia
191,Iran,364,IRN,Asia,Southern Asia
192,Iraq,368,IRQ,Asia,Western Asia
193,Guinea Bissau,624,GNB,Africa,Western Africa
194,Guinea,324,GIN,Africa,Western Africa
196,Nigeria,566,NGA,Africa,Western Africa
197,Cameroon,120,CMR,Africa,Middle Africa
198,Gabon,266,GAB,Africa,Middle Africa
199,Democratic Republic of the Congo,180,COD,Africa,Middle Africa
200,Angola,24,AGO,Africa,Middle Africa
202,United Republic of Tanzania,834,TZA,Africa,Eastern Africa
203,India,356,IND,Asia,Southern Asia
204,Bangladesh,50,BGD,Asia,Southern Asia
205,Myanmar,104,MMR,Asia,South-eastern Asia
206,Malaysia,458,MYS,Asia,South-eastern Asia
207,Vietnam,704,VNM,Asia,South-eastern Asia
208,Singapore,702,SGP,Asia,South-eastern Asia
209,China,156,CHN,Asia,Eastern Asia
210,Japan,392,JPN,Asia,Eastern Asia
212,Kiribati,296,KIR,Oceania,Micronesia
213,Antarctica,10,ATA,Antarctica,Antarctica
214,Egypt,818,EGY,Africa,Northern Africa
215,Jordan,400,JOR,Asia,Western Asia
216,Indonesia,360,IDN,Asia,South-eastern Asia
218,Canada,124,CAN,Northern America,Northern America
219,Saint Pierre and Miquelon,666,SPM,Northern America,Northern America
220,Sint Maarten,534,SXM,Latin America and the Caribbean,Caribbean
222,Sweden,752,SWE,Europe,Northern Europe
223,Norway,578,NOR,Europe,Northern Europe
224,Chile,152,CHL,Latin America and the Caribbean,South America
227,Jersey,832,JEY,Europe,Northern Europe
228,Guernsey,831,GGY,Europe,Northern Europe
232,Bosnia and Herzegovina,70,BIH,Europe,Southern Europe
244,Curaçao,531,CUW,Latin America and the Caribbean,Caribbean
250,Aruba,533,ABW,Latin America and the Caribbean,Caribbean
4,Macquarie Island,NA,NA,Oceania,Australia and New Zealand
12,Wake Island,NA,NA,Oceania,Micronesia
26,Andaman and Nicobar,NA,NA,Asia,South-Eastern Asia
28,Comoro Islands,NA,NA,Africa,Eastern Africa
30,Glorioso Islands,NA,NA,Africa,Eastern Africa
33,Juan de Nova Island,NA,NA,Africa,Eastern Africa
34,Bassas da India,NA,NA,Africa,Eastern Africa
35,Ile Europa,NA,NA,Africa,Eastern Africa
36,Ile Tromelin,NA,NA,Africa,Eastern Africa
55,Azores,NA,NA,Europe,Southern Europe
56,Cape Verde,NA,NA,Africa,Western Africa
57,Madeira,NA,NA,Europe,Southern Europe
58,Canary Islands,NA,NA,Europe,Southern Europe
