stressor,iucn_sid,taxon,var_priority,priority
cum_climate,2057,mammals,0.0010768586337510785,0.048474756153121266
cum_climate,3590,mammals,1.321368035258396e-5,0.03647259322004566
cum_climate,3897,sea_turtles,1.4190691752614985e-6,0.038030148451715116
cum_climate,4161,mammals,3.1125891186196272e-6,0.07426133034824867
cum_climate,8005,sea_turtles,4.4924171450023414e-7,0.0373053189589836
cum_climate,14549,mammals,2.626811186091352e-8,0.07699236717565545
cum_climate,22103,mammals,6.296502951400968e-7,0.06168397588900396
cum_climate,22823,mammals,6.338042479103279e-8,0.03336576587131378
cum_climate,41668,mammals,0.001073546652980068,0.047484103719333814
cum_climate,41762,mammals,9.79858175158365e-10,0.06783153512600869
cum_climate,64411,groupers,8.652479834716395e-7,0.06257124278087284
cum_climate,132860,reef_building_corals,3.329202868611355e-7,0.07247143848534124
cum_climate,132865,reef_building_corals,9.74034417698733e-8,0.0788537479573449
cum_climate,132866,reef_building_corals,5.1356625872051375e-6,0.053857894620249765
cum_climate,132868,reef_building_corals,5.554607964534974e-6,0.07454547989600449
cum_climate,132869,reef_building_corals,4.016530645071851e-6,0.05460548174803021
cum_climate,132870,reef_building_corals,7.087428745913516e-6,0.05267494707449673
cum_climate,132871,reef_building_corals,4.2220757049232635e-7,0.06697002805882858
cum_climate,132872,reef_building_corals,6.424905494650731e-7,0.0646236628432778
cum_climate,132873,reef_building_corals,5.979647583563198e-7,0.06448440995470228
cum_climate,132878,reef_building_corals,4.568527150208676e-6,0.05424545543029385
cum_climate,132879,reef_building_corals,3.882587967404382e-7,0.06663557915248883
cum_climate,132880,reef_building_corals,3.7942647603209275e-6,0.05468825219420729
cum_climate,132888,reef_building_corals,3.777649988359751e-7,0.06308135399250332
cum_climate,132890,reef_building_corals,5.372812634313684e-6,0.05372801082740257
cum_climate,132892,reef_building_corals,4.5688325667596157e-7,0.06707667884020478
cum_climate,132893,reef_building_corals,5.97255583336311e-7,0.0720141740642699
cum_climate,132894,reef_building_corals,5.253333719059628e-6,0.05376678215018635
cum_climate,132896,reef_building_corals,6.140516910269875e-7,0.06413260388863082
cum_climate,132897,reef_building_corals,2.617325359876421e-7,0.0667641335033628
cum_climate,132898,reef_building_corals,0,0.08503249675771905
cum_climate,132899,reef_building_corals,5.001600030384264e-6,0.05661308087720859
cum_climate,132901,reef_building_corals,5.217628013113062e-8,0.07162615043454523
cum_climate,132904,reef_building_corals,7.580242608455074e-7,0.06455176337396801
cum_climate,132905,reef_building_corals,5.4137108099132075e-6,0.053698472794786026
cum_climate,132907,reef_building_corals,4.5048503322227324e-7,0.06666851208585944
