iucn_sid,stressor,code,sens
2060,dem_dest,5.4.2,TRUE
2060,dem_dest,5.4.4,TRUE
2060,dem_nondest_hb,5.4.2,TRUE
2060,dem_nondest_hb,5.4.4,TRUE
2060,dem_nondest_lb,5.4.2,FALSE
2060,dem_nondest_lb,5.4.4,FALSE
2060,pel_hb,5.4.2,TRUE
2060,pel_hb,5.4.4,TRUE
2060,pel_lb,5.4.2,FALSE
2060,pel_lb,5.4.4,FALSE
2061,art_fish,5.4.3,TRUE
2061,dem_dest,5.4.2,FALSE
2061,dem_nondest_hb,5.4.2,FALSE
2061,dem_nondest_lb,5.4.2,FALSE
2061,pel_hb,5.4.2,FALSE
2061,pel_lb,5.4.2,FALSE
2062,art_fish,5.4.3,TRUE
2062,dem_dest,5.4.2,FALSE
2062,dem_nondest_hb,5.4.2,FALSE
2062,dem_nondest_lb,5.4.2,FALSE
2062,pel_hb,5.4.2,FALSE
2062,pel_lb,5.4.2,FALSE
2064,art_fish,5.4.3,TRUE
2064,dem_dest,5.4.4,TRUE
2064,dem_nondest_hb,5.4.4,TRUE
2064,dem_nondest_lb,5.4.4,FALSE
2064,pel_hb,5.4.4,FALSE
2064,pel_lb,5.4.4,FALSE
2066,art_fish,NA,FALSE
2066,dem_dest,5.4.2,FALSE
2066,dem_dest,5.4.4,FALSE
2066,dem_nondest_hb,5.4.2,TRUE
2066,dem_nondest_hb,5.4.4,TRUE
2066,dem_nondest_lb,5.4.2,FALSE
2066,dem_nondest_lb,5.4.4,FALSE
2066,pel_hb,5.4.2,TRUE
2066,pel_hb,5.4.4,TRUE
2066,pel_lb,5.4.2,FALSE
2066,pel_lb,5.4.4,FALSE
2067,art_fish,NA,FALSE
2067,dem_dest,5.4.4,TRUE
2067,dem_nondest_hb,5.4.4,TRUE
2067,dem_nondest_lb,5.4.4,FALSE
2067,pel_hb,5.4.4,TRUE
2067,pel_lb,5.4.4,FALSE
2467,art_fish,5.4.1,TRUE
2467,dem_dest,5.4.2,FALSE
2467,dem_dest,5.4.4,FALSE
2467,dem_nondest_hb,NA,FALSE
2467,dem_nondest_lb,NA,FALSE
2467,pel_hb,5.4.2,FALSE
2467,pel_hb,5.4.4,TRUE
2467,pel_lb,5.4.2,FALSE
2467,pel_lb,5.4.4,FALSE
2469,art_fish,NA,FALSE
2469,dem_dest,5.4.2,FALSE
2469,dem_dest,5.4.4,FALSE
2469,dem_nondest_hb,NA,FALSE
2469,dem_nondest_lb,NA,FALSE
2469,pel_hb,5.4.2,FALSE
2469,pel_hb,5.4.4,TRUE
2469,pel_lb,5.4.2,FALSE
2469,pel_lb,5.4.4,FALSE
2472,art_fish,NA,FALSE
2472,dem_dest,5.4.2,FALSE
2472,dem_dest,5.4.4,FALSE
2472,dem_nondest_hb,NA,FALSE
2472,dem_nondest_lb,NA,FALSE
2472,pel_hb,5.4.2,FALSE
2472,pel_hb,5.4.4,FALSE
2472,pel_lb,5.4.2,FALSE
2472,pel_lb,5.4.4,FALSE
2474,art_fish,5.4.1,FALSE
2474,art_fish,5.4.3,FALSE
2474,dem_dest,5.4.2,FALSE
2474,dem_nondest_hb,NA,FALSE
2474,dem_nondest_lb,NA,FALSE
2474,pel_hb,5.4.2,FALSE
2474,pel_lb,5.4.2,FALSE
2475,art_fish,5.4.1,TRUE
2475,dem_dest,5.4.2,FALSE
2475,dem_nondest_hb,NA,FALSE
2475,dem_nondest_lb,NA,FALSE
2475,pel_hb,5.4.2,FALSE
2475,pel_lb,5.4.2,FALSE
2476,art_fish,NA,FALSE
2476,dem_dest,5.4.2,FALSE
2476,dem_nondest_hb,NA,FALSE
2476,dem_nondest_lb,NA,FALSE
2476,pel_hb,5.4.2,FALSE
2476,pel_lb,5.4.2,FALSE
2478,art_fish,5.4.1,TRUE
2478,art_fish,5.4.3,TRUE
2478,dem_dest,5.4.2,FALSE
2478,dem_nondest_hb,NA,FALSE
2478,dem_nondest_lb,NA,FALSE
2478,pel_hb,5.4.2,FALSE
2478,pel_lb,5.4.2,FALSE
2480,art_fish,5.4.1,TRUE
2480,dem_dest,NA,FALSE
2480,dem_nondest_hb,NA,FALSE
2480,dem_nondest_lb,NA,FALSE
2480,pel_hb,NA,FALSE
2480,pel_lb,NA,FALSE
2539,art_fish,5.4.1,FALSE
2539,dem_dest,5.4.2,FALSE
2539,dem_nondest_hb,5.4.2,FALSE
2539,dem_nondest_lb,5.4.2,FALSE
2539,pel_hb,NA,FALSE
2539,pel_lb,NA,FALSE
2636,art_fish,NA,FALSE
2636,dem_dest,5.4.4,FALSE
2636,dem_nondest_hb,5.4.4,FALSE
2636,dem_nondest_lb,5.4.4,FALSE
2636,pel_hb,NA,FALSE
2636,pel_lb,NA,FALSE
2763,art_fish,5.4.3,TRUE
2763,dem_dest,NA,FALSE
2763,dem_nondest_hb,NA,FALSE
2763,dem_nondest_lb,NA,FALSE
2763,pel_hb,NA,FALSE
2763,pel_lb,NA,FALSE
2958,art_fish,NA,FALSE
2958,dem_dest,5.4.4,FALSE
2958,dem_nondest_hb,5.4.4,FALSE
2958,dem_nondest_lb,5.4.4,FALSE
2958,pel_hb,NA,FALSE
2958,pel_lb,NA,FALSE
3590,art_fish,5.4.1,TRUE
3590,dem_dest,5.4.2,FALSE
3590,dem_dest,5.4.4,FALSE
3590,dem_nondest_hb,5.4.2,FALSE
3590,dem_nondest_hb,5.4.4,TRUE
3590,dem_nondest_lb,5.4.2,FALSE
3590,dem_nondest_lb,5.4.4,FALSE
3590,pel_hb,5.4.2,FALSE
3590,pel_hb,5.4.4,TRUE
3590,pel_lb,5.4.2,FALSE
3590,pel_lb,5.4.4,FALSE
3778,art_fish,NA,FALSE
3778,dem_dest,5.4.4,FALSE
3778,dem_nondest_hb,NA,FALSE
3778,dem_nondest_lb,NA,FALSE
3778,pel_hb,5.4.4,FALSE
3778,pel_lb,5.4.4,FALSE
3851,art_fish,5.4.3,TRUE
3851,dem_dest,5.4.2,FALSE
3851,dem_dest,5.4.4,TRUE
3851,dem_nondest_hb,5.4.2,FALSE
3851,dem_nondest_hb,5.4.4,FALSE
3851,dem_nondest_lb,5.4.2,FALSE
3851,dem_nondest_lb,5.4.4,FALSE
3851,pel_hb,NA,FALSE
3851,pel_lb,NA,FALSE
3852,art_fish,5.4.1,TRUE
3852,art_fish,5.4.3,TRUE
3852,dem_dest,5.4.2,TRUE
3852,dem_dest,5.4.4,TRUE
3852,dem_nondest_hb,NA,FALSE
3852,dem_nondest_lb,NA,FALSE
3852,pel_hb,5.4.2,TRUE
3852,pel_hb,5.4.4,TRUE
3852,pel_lb,5.4.2,TRUE
3852,pel_lb,5.4.4,TRUE
3853,art_fish,5.4.1,TRUE
3853,art_fish,5.4.3,TRUE
3853,dem_dest,5.4.4,TRUE
3853,dem_nondest_hb,5.4.4,TRUE
3853,dem_nondest_lb,5.4.4,TRUE
3853,pel_hb,5.4.4,TRUE
3853,pel_lb,5.4.4,TRUE
3854,art_fish,5.4.3,TRUE
3854,dem_dest,5.4.4,TRUE
3854,dem_nondest_hb,5.4.4,TRUE
3854,dem_nondest_lb,5.4.4,TRUE
3854,pel_hb,5.4.4,TRUE
3854,pel_lb,5.4.4,TRUE
3855,art_fish,5.4.1,FALSE
3855,art_fish,5.4.3,FALSE
3855,dem_dest,5.4.4,FALSE
3855,dem_nondest_hb,5.4.4,FALSE
3855,dem_nondest_lb,5.4.4,FALSE
3855,pel_hb,5.4.4,FALSE
3855,pel_lb,5.4.4,FALSE
3897,art_fish,5.4.1,TRUE
3897,art_fish,5.4.3,TRUE
3897,dem_dest,NA,FALSE
3897,dem_nondest_hb,NA,FALSE
3897,dem_nondest_lb,NA,FALSE
3897,pel_hb,NA,FALSE
3897,pel_lb,NA,FALSE
3898,art_fish,5.4.1,TRUE
3898,dem_dest,NA,FALSE
3898,dem_nondest_hb,NA,FALSE
3898,dem_nondest_lb,NA,FALSE
3898,pel_hb,NA,FALSE
3898,pel_lb,NA,FALSE
4159,art_fish,5.4.1,FALSE
4159,art_fish,5.4.3,TRUE
4159,dem_dest,5.4.4,TRUE
4159,dem_nondest_hb,5.4.4,TRUE
4159,dem_nondest_lb,5.4.4,FALSE
4159,pel_hb,5.4.4,TRUE
4159,pel_lb,5.4.4,TRUE
4160,art_fish,5.4.1,TRUE
4160,dem_dest,5.4.2,FALSE
4160,dem_dest,5.4.4,FALSE
4160,dem_nondest_hb,5.4.2,FALSE
4160,dem_nondest_hb,5.4.4,TRUE
