eez,intens_mean,intens_var,a_km2,impact
1,0,0,470276.10427541216,fishing
2,0.07806905742897724,1.4604068769422929,330244.23029043333,fishing
3,0,0,432762.99763008044,fishing
4,0,0,475427.4105727474,fishing
5,0,0,1371891.8073793594,fishing
6,0.25545047932424964,4.703414380468383,621635.7873125,fishing
7,0.5715249396927147,12.886926082748376,1607790.0243401737,fishing
8,0.37302779325732527,6.949585164380771,608156.2883439019,fishing
9,1.887288028971158,34.96257880501487,3010915.3920788644,fishing
10,0.5184510738622099,10.103676005077856,309784.8379646826,fishing
11,0.4195563181589206,8.763456914196732,2003934.1241497751,fishing
12,0.3630147063517866,8.176323008306655,409538.02010746935,fishing
13,0.958760950211313,18.577492546464203,976310.0811383444,fishing
14,-0.9955595140859533,561.6876388238219,342182.4415944863,fishing
15,0.7789238640182564,105.6442697253983,1830947.5125717814,fishing
16,0.0732770569696307,8.635750871366835,6958627.1410884755,fishing
17,0.18454424686887969,19.291457630581753,2405997.990851046,fishing
18,0.5470343603275866,10.119871383566789,1289276.1716676492,fishing
19,0.860108296941045,16.83032090586218,747968.9763842642,fishing
20,-14.441201899018358,198.61112900755091,325237.0103425239,fishing
21,-6.993315137822381,111.15341975547777,116131.00037764767,fishing
24,-14.000912935200736,2934.30695064489,47826.19822795977,fishing
25,-19.043152074186512,2461.6646105254454,307069.9013025786,fishing
26,11.214901324908968,1383.8653573190159,664068.7887733956,fishing
28,2.603395258074596,46.57161031585991,165274.9340384028,fishing
29,21.42540435969183,17.801468395307843,63653.86848826811,fishing
30,1.0579155962280573,23.73757956165505,43846.794489988955,fishing
31,0.010338929820224977,2.4341531987726417,1340756.0511784144,fishing
32,0.1282854812450778,7.9304252402141895,316556.89769896655,fishing
33,-0.22897852979007186,5.148661558182142,62757.913199536786,fishing
34,0,0,122886.46832907284,fishing
35,0,0,125915.77525636103,fishing
36,0,0,271867.41621694993,fishing
37,-0.4436442832392256,48.666174682039745,1280387.352064579,fishing
38,0,0,642950.9653507594,fishing
39,2.1161780012310714,66.63818130702037,922100.4196812327,fishing
40,4.961515753051876,643.4854834927482,533876.7044826233,fishing
41,20.41589710106647,2562.4968755818113,574461.9073133098,fishing
42,-2.866427934788262,955.4353667407258,1204658.171930188,fishing
43,0.5231001952907959,10.24859365680963,113143.6094567071,fishing
44,-0.21061731569000589,8.771052166868147,782341.0000201372,fishing
45,-7.132439960960396,1332.309904706157,79241.39476781989,fishing
46,-10.494431293755918,1936.1784530252964,6978.146907149391,fishing
47,-7.921745352284358,1265.8680753735473,549161.2127544791,fishing
48,10.2396056511916,692.7546743198468,538811.4445574345,fishing
49,57.37826590924822,4992.539631586869,67146.87158407478,fishing
50,53.04186293396765,4869.6079123171385,220612.8354084064,fishing
51,27.811645565235793,630.6297292490419,11817.702683632866,fishing
52,15.342582584972424,116.73302767562134,7269.81267851454,fishing
53,-7.420777592714005,783.4611552322224,222582.8891656227,fishing
54,42.82534925505233,1837.4126473392346,53629.82290118264,fishing
55,0.3781724660525117,7.109899777392041,956835.715671176,fishing
56,1.0808179111631804,18.40964430879395,800403.3189574188,fishing
57,0.6525985114059848,14.674919582395997,455325.17781000386,fishing
58,1.9975247816286397,50.65985534581671,449816.71195999417,fishing
59,4.781504067723605,46.37342461233204,3437.1150296768797,fishing
