tx1,tx2,area_km2,str
aves,cnidaria,805862.0101263459,land-based
plantae,aves,689953.6885858463,land-based
aves,plantae,689953.6885858463,land-based
cnidaria,mammalia,672830.9874615445,land-based
mammalia,cnidaria,672830.9874615445,land-based
plantae,mammalia,650720.2778056196,land-based
mammalia,plantae,650720.2778056196,land-based
cnidaria,plantae,632919.934217354,land-based
plantae,cnidaria,632919.934217354,land-based
actinopterygii,actinopterygii,10017.932818065257,land-based
actinopterygii,reptilia,9409.277034231307,land-based
reptilia,actinopterygii,9409.277034231307,land-based
actinopterygii,aves,8320.333334840141,land-based
aves,actinopterygii,8320.333334840141,land-based
chondrichthyes,chondrichthyes,8040.893105746917,land-based
chondrichthyes,reptilia,7948.328524492932,land-based
reptilia,chondrichthyes,7948.328524492932,land-based
chondrichthyes,mammalia,3008.3489098454043,land-based
mammalia,chondrichthyes,3008.3489098454043,land-based
mollusca,reptilia,903.8145428859973,land-based
reptilia,mollusca,903.8145428859973,land-based
mollusca,mollusca,903.8145428859973,land-based
mollusca,aves,765.8409182957696,land-based
aves,mollusca,765.8409182957696,land-based
chondrichthyes,aves,713.4458777394516,land-based
aves,chondrichthyes,713.4458777394516,land-based
actinopterygii,mammalia,289.0460034151357,land-based
mammalia,actinopterygii,289.0460034151357,land-based
cnidaria,actinopterygii,289.0460034151357,land-based
actinopterygii,cnidaria,289.0460034151357,land-based
mollusca,mammalia,213.9464388289365,land-based
mammalia,mollusca,213.9464388289365,land-based
chondrichthyes,actinopterygii,13.098761319959403,land-based
actinopterygii,chondrichthyes,13.098761319959403,land-based
chondrichthyes,plantae,1.7465014699652575,land-based
plantae,chondrichthyes,1.7465014699652575,land-based
mammalia,mammalia,221644221.439349,all
reptilia,reptilia,203903277.97292894,all
aves,aves,160836694.61991513,all
reptilia,mammalia,143916431.356047,all
mammalia,reptilia,143916431.356047,all
reptilia,aves,112994151.7258279,all
aves,reptilia,112994151.7258279,all
aves,mammalia,106209935.46937385,all
mammalia,aves,106209935.46937385,all
chondrichthyes,chondrichthyes,83132018.618859,all
actinopterygii,actinopterygii,76571379.01016481,all
actinopterygii,chondrichthyes,76381288.90900494,all
chondrichthyes,actinopterygii,76381288.90900494,all
chondrichthyes,mammalia,76044537.21401328,all
mammalia,chondrichthyes,76044537.21401328,all
actinopterygii,mammalia,69986782.63981903,all
mammalia,actinopterygii,69986782.63981903,all
reptilia,chondrichthyes,53817251.31946966,all
chondrichthyes,reptilia,53817251.31946966,all
reptilia,actinopterygii,51187235.68846596,all
actinopterygii,reptilia,51187235.68846596,all
aves,chondrichthyes,47765981.50529907,all
chondrichthyes,aves,47765981.50529907,all
actinopterygii,aves,42135686.67640055,all
aves,actinopterygii,42135686.67640055,all
cnidaria,cnidaria,10927606.913637657,all
cnidaria,mammalia,10417959.424872465,all
mammalia,cnidaria,10417959.424872465,all
cnidaria,reptilia,10032034.979115784,all
reptilia,cnidaria,10032034.979115784,all
cnidaria,chondrichthyes,8377868.35257302,all
chondrichthyes,cnidaria,8377868.35257302,all
cnidaria,actinopterygii,7429733.707573777,all
actinopterygii,cnidaria,7429733.707573777,all
cnidaria,aves,7094173.999794875,all
aves,cnidaria,7094173.999794875,all
plantae,plantae,4057716.89571577,all
plantae,reptilia,4011741.115839654,all
reptilia,plantae,4011741.115839654,all
plantae,mammalia,3973383.575668556,all
mammalia,plantae,3973383.575668556,all
cnidaria,plantae,3749169.454083769,all
plantae,cnidaria,3749169.454083769,all
plantae,chondrichthyes,3594374.402601159,all
chondrichthyes,plantae,3594374.402601159,all
plantae,actinopterygii,3307590.989962663,all
actinopterygii,plantae,3307590.989962663,all
plantae,aves,3090698.202809866,all
aves,plantae,3090698.202809866,all
myxini,chondrichthyes,7810.354887011432,all
myxini,aves,7810.354887011432,all
myxini,reptilia,7810.354887011432,all
chondrichthyes,myxini,7810.354887011432,all
aves,myxini,7810.354887011432,all
reptilia,myxini,7810.354887011432,all
myxini,myxini,7810.354887011432,all
myxini,mammalia,7735.255322425232,all
mammalia,myxini,7735.255322425232,all
myxini,actinopterygii,7227.896628769599,all
actinopterygii,myxini,7227.896628769599,all
myxini,cnidaria,3650.188220624628,all
cnidaria,myxini,3650.188220624628,all
mollusca,reptilia,2813.6139860052044,all
reptilia,mollusca,2813.6139860052044,all
mollusca,mollusca,2813.6139860052044,all
mollusca,mammalia,2675.6403614149767,all
mollusca,chondrichthyes,2675.6403614149767,all
mollusca,aves,2675.6403614149767,all
mollusca,actinopterygii,2675.6403614149767,all
mammalia,mollusca,2675.6403614149767,all
chondrichthyes,mollusca,2675.6403614149767,all
aves,mollusca,2675.6403614149767,all
actinopterygii,mollusca,2675.6403614149767,all
mollusca,cnidaria,1909.7994431192067,all
cnidaria,mollusca,1909.7994431192067,all
myxini,plantae,462.8229015464054,all
plantae,myxini,462.8229015464054,all
