iucn_sid,stressor,sensitive
6494,art_fish,TRUE
6494,dem_dest,NA
6494,dem_nondest_hb,NA
6494,dem_nondest_lb,NA
6494,pel_hb,NA
6494,pel_lb,NA
6909,art_fish,TRUE
6909,dem_dest,NA
6909,dem_nondest_hb,NA
6909,dem_nondest_lb,NA
6909,pel_hb,NA
6909,pel_lb,NA
7750,art_fish,NA
7750,dem_dest,FALSE
7750,dem_nondest_hb,TRUE
7750,dem_nondest_lb,FALSE
7750,pel_hb,FALSE
7750,pel_lb,FALSE
7854,art_fish,FALSE
7854,dem_dest,FALSE
7854,dem_nondest_hb,FALSE
7854,dem_nondest_lb,FALSE
7854,pel_hb,NA
7854,pel_lb,NA
7858,art_fish,FALSE
7858,dem_dest,FALSE
7858,dem_nondest_hb,FALSE
7858,dem_nondest_lb,FALSE
7858,pel_hb,NA
7858,pel_lb,NA
7859,art_fish,TRUE
7859,dem_dest,FALSE
7859,dem_nondest_hb,TRUE
7859,dem_nondest_lb,TRUE
7859,pel_hb,NA
7859,pel_lb,NA
7860,art_fish,TRUE
7860,dem_dest,FALSE
7860,dem_nondest_hb,TRUE
7860,dem_nondest_lb,TRUE
7860,pel_hb,NA
7860,pel_lb,NA
7861,art_fish,TRUE
7861,dem_dest,FALSE
7861,dem_nondest_hb,TRUE
7861,dem_nondest_lb,TRUE
7861,pel_hb,NA
7861,pel_lb,NA
7862,art_fish,FALSE
7862,dem_dest,FALSE
7862,dem_nondest_hb,TRUE
7862,dem_nondest_lb,FALSE
7862,pel_hb,NA
7862,pel_lb,NA
8005,art_fish,FALSE
8005,dem_dest,FALSE
8005,dem_nondest_hb,TRUE
8005,dem_nondest_lb,FALSE
8005,pel_hb,TRUE
8005,pel_lb,FALSE
8010,art_fish,TRUE
8010,dem_dest,NA
8010,dem_nondest_hb,NA
8010,dem_nondest_lb,NA
8010,pel_hb,NA
8010,pel_lb,NA
8097,art_fish,NA
8097,dem_dest,NA
8097,dem_nondest_hb,NA
8097,dem_nondest_lb,NA
8097,pel_hb,TRUE
8097,pel_lb,FALSE
8099,art_fish,FALSE
8099,art_fish,TRUE
8099,dem_dest,NA
8099,dem_nondest_hb,NA
8099,dem_nondest_lb,NA
8099,pel_hb,TRUE
8099,pel_lb,FALSE
8239,art_fish,TRUE
8239,dem_dest,NA
8239,dem_nondest_hb,NA
8239,dem_nondest_lb,NA
8239,pel_hb,NA
8239,pel_lb,NA
8551,art_fish,TRUE
8551,dem_dest,NA
8551,dem_nondest_hb,NA
8551,dem_nondest_lb,NA
8551,pel_hb,NA
8551,pel_lb,NA
9249,art_fish,TRUE
9249,dem_dest,NA
9249,dem_nondest_hb,NA
9249,dem_nondest_lb,NA
9249,pel_hb,FALSE
9249,pel_lb,FALSE
9250,art_fish,TRUE
9250,dem_dest,NA
9250,dem_nondest_hb,NA
9250,dem_nondest_lb,NA
9250,pel_hb,NA
9250,pel_lb,NA
9281,art_fish,TRUE
9281,dem_dest,FALSE
9281,dem_nondest_hb,TRUE
9281,dem_nondest_lb,FALSE
9281,pel_hb,NA
9281,pel_lb,NA
9461,art_fish,TRUE
9461,dem_dest,NA
9461,dem_nondest_hb,NA
9461,dem_nondest_lb,NA
9461,pel_hb,NA
9461,pel_lb,NA
9660,art_fish,TRUE
9660,dem_dest,FALSE
9660,dem_nondest_hb,TRUE
9660,dem_nondest_lb,FALSE
9660,pel_hb,FALSE
9660,pel_lb,FALSE
10030,art_fish,TRUE
10030,dem_dest,FALSE
10030,dem_nondest_hb,TRUE
10030,dem_nondest_lb,FALSE
10030,pel_hb,NA
10030,pel_lb,NA
10707,art_fish,FALSE
10707,dem_dest,NA
10707,dem_nondest_hb,NA
10707,dem_nondest_lb,NA
10707,pel_hb,NA
10707,pel_lb,NA
10708,art_fish,TRUE
10708,dem_dest,NA
10708,dem_nondest_hb,NA
10708,dem_nondest_lb,NA
10708,pel_hb,NA
