eez,pct_intens_mean,a_km2,impact
1,0,470276.10427541216,fishing
2,0.23333333070276407,330244.23029043333,fishing
3,0,432762.99763008044,fishing
4,0,475427.4105727474,fishing
5,0,1371891.8073793594,fishing
6,0.5073798253302035,621635.7873125,fishing
7,1.1219144134495698,1607790.0243401737,fishing
8,1.0499211570252667,608156.2883439019,fishing
9,4.753434887084469,3010915.3920788644,fishing
10,1.2512231094215236,309784.8379646826,fishing
11,0.9167414494073876,2003934.1241497751,fishing
12,0.8233075038294938,409538.02010746935,fishing
13,2.371344549970428,976310.0811383444,fishing
14,-1.5005605146269696,342182.4415944863,fishing
15,0.7699195307090239,1830947.5125717814,fishing
16,0.08573641853962588,6958627.1410884755,fishing
17,0.2853776265840452,2405997.990851046,fishing
18,1.0340430671873555,1289276.1716676492,fishing
19,1.9452075613313538,747968.9763842642,fishing
20,-32.845445970825956,325237.0103425239,fishing
21,-24.937062089524275,116131.00037764767,fishing
24,-9.347223451428391,47826.19822795977,fishing
25,-12.355637125696141,307069.9013025786,fishing
26,28.89272991555411,664068.7887733956,fishing
28,6.732649214090573,165274.9340384028,fishing
29,50.49422041830761,63653.86848826811,fishing
30,2.5124644140316876,43846.794489988955,fishing
31,0.02443113947039219,1340756.0511784144,fishing
32,0.36009379669366676,316556.89769896655,fishing
33,-0.5342945614312448,62757.913199536786,fishing
34,0,122886.46832907284,fishing
35,0,125915.77525636103,fishing
36,0,271867.41621694993,fishing
37,-1.286772169705628,1280387.352064579,fishing
38,0,642950.9653507594,fishing
39,5.449551135039291,922100.4196812327,fishing
40,11.69633210431171,533876.7044826233,fishing
41,33.02722744989663,574461.9073133098,fishing
42,-4.907306544767751,1204658.171930188,fishing
43,1.0582742537197207,113143.6094567071,fishing
44,-0.4756787373955422,782341.0000201372,fishing
45,-4.403917161812769,79241.39476781989,fishing
46,-10.786008514686673,6978.146907149391,fishing
47,-15.13608091771434,549161.2127544791,fishing
48,24.177873705239673,538811.4445574345,fishing
49,72.3560644000682,67146.87158407478,fishing
50,53.89512598234841,220612.8354084064,fishing
