eez,impact_mean,impact_var,a_km2,impact
1,0.36428706273926686,2.6076230756112495,470276.10427541216,fishing
2,1.1969522288598518,9.377785765536894,330244.23029043333,fishing
3,0,0,432762.99763008044,fishing
4,0,0,475427.4105727474,fishing
5,0.011959132194908375,0.08036868717321437,1371891.8073793594,fishing
6,0.829790522274741,12.198271236284581,621635.7873125,fishing
7,3.95116000547238,61.924244370054936,1607790.0243401737,fishing
8,1.8939105454324612,30.38120980727801,608156.2883439019,fishing
9,2.7850848479811616,45.86026078536221,3010915.3920788644,fishing
10,2.589071897804878,44.60659060642756,309784.8379646826,fishing
11,2.737981731192915,48.32940913212034,2003934.1241497751,fishing
12,3.088334068962961,40.359133725127116,409538.02010746935,fishing
13,2.7717508424354795,30.030521363283054,976310.0811383444,fishing
14,21.271660766975764,945.1204009503274,342182.4415944863,fishing
15,26.665086728776846,1093.1617215601511,1830947.5125717814,fishing
16,1.3158764175469477,38.31080756979792,6958627.1410884755,fishing
17,19.555917373885684,82.21211201045146,2405997.990851046,fishing
18,4.1802559358367795,474.1411037846901,1289276.1716676492,fishing
19,1.6867106267027092,30.260418054100093,747968.9763842642,fishing
20,23.12005652648201,92.37090751616013,325237.0103425239,fishing
21,11.494308970717023,123.57928383889812,116131.00037764767,fishing
24,61.248910546358466,2141.842331129915,47826.19822795977,fishing
25,85.48724075100228,5899.3255449271965,307069.9013025786,fishing
26,15.918101775461036,1584.0055440750832,664068.7887733956,fishing
28,7.671517040208041,761.25666803227125,165274.9340384028,fishing
29,22.389420108773923,157.07346248241564,63653.86848826811,fishing
30,2.155995034378212,26.843235586381745,43846.794489988955,fishing
31,2.7237973850447794,54.311215420153,1340756.0511784144,fishing
32,0.6089532806289499,11.091072584237784,316556.89769896655,fishing
33,0.9013223501050378,15.477885491813957,62757.913199536786,fishing
34,0.20693608483806247,1.382078450969665,122886.46832907284,fishing
35,0,0,125915.77525636103,fishing
36,0,0,271867.41621694993,fishing
37,0.70342895117181,55.23764054201508,1280387.352064579,fishing
38,0.034128192486194635,0.20416751289001484,642950.9653507594,fishing
39,4.053352776761885,99.8477561269762,922100.4196812327,fishing
40,13.726342771345706,1479.1813300744889,533876.7044826233,fishing
41,21.118486725413856,2515.2063076735876,574461.9073133098,fishing
42,11.316277279789018,1506.0258773846856,1204658.171930188,fishing
43,17.73410977341745,2208.0764978545653,113143.6094567071,fishing
44,3.8284077189417367,362.8832049115077,782341.0000201372,fishing
45,22.498561863597345,2178.9914543552613,79241.39476781989,fishing
46,66.3153547786364,2881.7306246218004,6978.146907149391,fishing
47,17.666418605691813,1661.6676206889754,549161.2127544791,fishing
48,23.715670639896928,509.6889834798912,538811.4445574345,fishing
49,62.829650733492386,4882.187164878204,67146.87158407478,fishing
50,77.13195638568382,4968.675543219399,220612.8354084064,fishing
51,76.14212171998734,256.16006659996185,11817.702683632866,fishing
52,81.93653656127803,88.95801774765583,7269.81267851454,fishing
53,25.363504520912006,1011.5759544501299,222582.8891656227,fishing
54,76.74409200740433,190.08235148234058,53629.82290118264,fishing
55,3.112547917485908,39.73632843883333,956835.715671176,fishing
56,4.123537269076541,49.75400170983354,800403.3189574188,fishing
57,6.013863583569838,55.90263548425583,455325.17781000386,fishing
58,15.577129756811468,190.76141025539175,449816.71195999417,fishing
59,21.923102993977142,16.218245778023228,3437.1150296768797,fishing
60,37.65283542582043,49.700308454928404,420.90687413977173,fishing
61,43.51956482533838,140.80856322268374,99719.1253557578,fishing
62,30.883127130699428,265.4308952331903,274777.96100855886,fishing
63,8.579669662633126,198.75482002546389,252913.50822788282,fishing
64,24.081729751478797,489.8401689681378,156380.00167969576,fishing
65,17.3428539105178,695.3693041953691,20668.09925731595,fishing
66,16.260259651011495,495.0040212354616,160129.7404779088,fishing
67,9.76808179893736,246.30010409709072,357310.63797690766,fishing
68,13.42688245446635,133.02337021069198,54928.34677923298,fishing
69,3.9761195218473078,0.2559215125614728,29302.802892077827,fishing
70,4.29929444319834,0.8298393959528692,36181.399209337986,fishing
