iucn_sid,cat_score,sens,code,stressor
161320,0.4,1,1.1,direct_human
39387,0,1,6.1,direct_human
14134429,0,0,2.4.2,nutrient
14134429,0,0,9.1.1,nutrient
14134429,0,0,9.1.2,nutrient
14134429,0,0,9.1.2,organic
48342467,0.4,1,1.1,direct_human
185186,NA,0,1.1,direct_human
185186,NA,0,1.2,direct_human
185186,NA,0,1.3,direct_human
185157,0,0,1.1,direct_human
185157,0,0,1.2,direct_human
185157,0,0,1.3,direct_human
46079321,0,1,1.1,direct_human
46079321,0,1,1.2,direct_human
46079321,0,1,1.3,direct_human
185149,0,0,1.1,direct_human
178954,NA,0,1.1,direct_human
178954,NA,0,1.2,direct_human
178954,NA,0,1.3,direct_human
196687,0,1,1.1,direct_human
196687,0,1,1.2,direct_human
196687,0,1,1.3,direct_human
196687,0,1,6.1,direct_human
46079873,0.4,1,1.1,direct_human
46079873,0.4,1,1.2,direct_human
46079873,0.4,1,1.3,direct_human
46079873,0.4,0,9.2.1,organic
154713,0,0,1.1,direct_human
154713,0,0,1.2,direct_human
154713,0,0,1.3,direct_human
183732,NA,1,1.3,direct_human
178942,0,0,1.2,direct_human
178942,0,0,1.3,direct_human
178942,0,0,9.1.1,nutrient
178942,0,0,9.1.2,nutrient
178942,0,0,9.1.2,organic
185152,0.6,1,1.1,direct_human
185152,0.6,1,9.1.1,nutrient
194911,0,0,1.1,direct_human
194911,0,0,1.2,direct_human
194911,0,0,1.3,direct_human
154626,0,0,1.2,direct_human
154626,0,0,1.3,direct_human
185164,0,0,1.1,direct_human
185164,0,0,1.2,direct_human
185164,0,0,1.3,direct_human
48342288,0.4,2,9.2.1,organic
183741,0,1,1.1,direct_human
183741,0,1,1.2,direct_human
183741,0,1,1.3,direct_human
185194,0,0,1.1,direct_human
185194,0,0,1.2,direct_human
185194,0,0,1.3,direct_human
194085,NA,0,1.1,direct_human
194085,NA,0,1.2,direct_human
194085,NA,0,1.3,direct_human
185144,0.4,0,1.1,direct_human
185144,0.4,0,1.2,direct_human
185144,0.4,0,1.3,direct_human
185166,0,0,1.1,direct_human
185166,0,0,1.2,direct_human
185166,0,0,1.3,direct_human
178938,0.4,0,9.2.1,organic
178923,NA,0,1.1,direct_human
178923,NA,0,1.2,direct_human
178923,NA,0,1.3,direct_human
4982,0.6,0,1.1,direct_human
4982,0.6,0,1.2,direct_human
4982,0.6,0,9.1.1,nutrient
4982,0.6,0,9.1.2,nutrient
4982,0.6,0,9.1.2,organic
4982,0.6,0,9.3.1,nutrient
185143,0,0,1.1,direct_human
185143,0,0,1.2,direct_human
185143,0,0,1.3,direct_human
183728,NA,1,1.1,direct_human
183728,NA,1,1.2,direct_human
183728,NA,1,1.3,direct_human
185190,0,0,1.1,direct_human
185190,0,0,1.2,direct_human
185190,0,0,1.3,direct_human
154986,0.6,0,1.1,direct_human
154986,0.6,0,1.3,direct_human
154986,0.6,0,9.1.1,nutrient
185136,0,0,1.1,direct_human
185136,0,0,1.2,direct_human
185136,0,0,1.3,direct_human
46080159,0,1,1.1,direct_human
46080159,0,1,1.2,direct_human
46080159,0,1,1.3,direct_human
194913,0,0,1.1,direct_human
194913,0,0,1.2,direct_human
194913,0,0,1.3,direct_human
185173,0,0,1.1,direct_human
185173,0,0,1.2,direct_human
185173,0,0,1.3,direct_human
183396,0,1,1.1,direct_human
183396,0,1,1.2,direct_human
183396,0,1,1.3,direct_human
183521,0,1,1.1,direct_human
183521,0,1,1.2,direct_human
183521,0,1,1.3,direct_human
48342534,0.4,1,1.1,direct_human
48342534,0.4,1,1.3,direct_human
183551,NA,1,1.1,direct_human
183551,NA,1,1.2,direct_human
183551,NA,1,1.3,direct_human
183638,0,1,1.1,direct_human
183638,0,1,1.2,direct_human
183638,0,1,1.3,direct_human
178984,NA,0,1.1,direct_human
178984,NA,0,1.2,direct_human
178984,NA,0,1.3,direct_human
178984,NA,0,9.1.1,nutrient
178984,NA,0,9.1.2,nutrient
178984,NA,0,9.1.2,organic
179018,NA,0,1.1,direct_human
179018,NA,0,1.2,direct_human
179018,NA,0,1.3,direct_human
179018,NA,0,9.1.1,nutrient
179018,NA,0,9.1.2,nutrient
179018,NA,0,9.1.2,organic
185195,0,0,1.1,direct_human
185195,0,0,1.2,direct_human
185195,0,0,1.3,direct_human
183513,0.4,1,1.1,direct_human
183513,0.4,1,1.2,direct_human
183513,0.4,1,1.3,direct_human
183615,0,1,1.1,direct_human
183615,0,1,1.2,direct_human
183615,0,1,1.3,direct_human
46079868,0,1,1.1,direct_human
46079868,0,1,1.2,direct_human
46079868,0,1,1.3,direct_human
183497,0,1,1.1,direct_human
183497,0,1,1.2,direct_human
183497,0,1,1.3,direct_human
185154,0,0,1.1,direct_human
185154,0,0,1.2,direct_human
185154,0,0,1.3,direct_human
185151,0,0,1.1,direct_human
185151,0,0,1.2,direct_human
185151,0,0,1.3,direct_human
179092,0,0,1.2,direct_human
179092,0,0,1.3,direct_human
172487,0,1,1.1,direct_human
172487,0,1,1.2,direct_human
172487,0,1,1.3,direct_human
48342528,0,1,1.1,direct_human
185150,0,0,1.1,direct_human
185150,0,0,1.2,direct_human
185150,0,0,1.3,direct_human
183399,0,1,1.1,direct_human
183399,0,1,1.2,direct_human
183399,0,1,1.3,direct_human
48342221,0.6,0,9.1.1,nutrient
48342221,0.6,0,9.2.1,organic
194909,0,0,1.1,direct_human
194909,0,0,1.2,direct_human
194909,0,0,1.3,direct_human
196686,0,1,1.1,direct_human
196686,0,1,1.2,direct_human
196686,0,1,1.3,direct_human
196686,0,1,6.1,direct_human
196686,0,0,9.2.1,organic
183544,0,1,1.1,direct_human
183544,0,1,1.2,direct_human
183544,0,1,1.3,direct_human
48342332,0,0,9.1.1,nutrient
46079096,0,0,1.1,direct_human
46079096,0,0,1.3,direct_human
185188,0,0,1.1,direct_human
185188,0,0,1.2,direct_human
185188,0,0,1.3,direct_human
189747,0.2,0,1.1,direct_human
189747,0.2,0,1.2,direct_human
189747,0.2,0,1.3,direct_human
185180,0,0,1.1,direct_human
185180,0,0,1.2,direct_human
185180,0,0,1.3,direct_human
185180,0,0,9.3.3,organic
154957,0.2,1,1.3,direct_human
48342108,0.4,0,9.1.1,nutrient
46079924,0,1,1.1,direct_human
46079924,0,1,1.2,direct_human
46079924,0,1,1.3,direct_human
194914,0,0,1.1,direct_human
194914,0,0,1.2,direct_human
194914,0,0,1.3,direct_human
179045,0,1,1.1,direct_human
179045,0,1,1.2,direct_human
179045,0,1,1.3,direct_human
184031,0,1,1.1,direct_human
184031,0,1,1.2,direct_human
184031,0,1,1.3,direct_human
48342435,0,1,2.4.3,nutrient
48342435,0,1,6.1,direct_human
48342435,0,1,9.1.1,nutrient
48342435,0,1,9.2.1,organic
183896,0.8,1,1.1,direct_human
183896,0.8,1,1.2,direct_human
179027,0,0,1.1,direct_human
179027,0,0,1.2,direct_human
179027,0,0,1.3,direct_human
185192,0,0,1.1,direct_human
185192,0,0,1.2,direct_human
185192,0,0,1.3,direct_human
185158,0,0,1.1,direct_human
185158,0,0,1.2,direct_human
185158,0,0,1.3,direct_human
18263684,0,1,1.1,direct_human
18263684,0,1,1.2,direct_human
18263684,0,1,1.3,direct_human
185147,0.4,0,9.2.1,organic
178999,0.6,0,1.2,direct_human
178999,0.6,0,1.3,direct_human
178921,0,0,1.1,direct_human
178921,0,0,1.2,direct_human
178921,0,0,1.3,direct_human
185132,0,0,1.1,direct_human
185132,0,0,1.2,direct_human
185132,0,0,1.3,direct_human
183867,0,1,1.1,direct_human
183867,0,1,1.2,direct_human
183867,0,1,1.3,direct_human
46079816,0,1,1.1,direct_human
46079816,0,1,1.2,direct_human
46079816,0,1,1.3,direct_human
46079214,0,1,1.1,direct_human
46079214,0,1,1.3,direct_human
46079214,0,1,6.1,direct_human
46079290,0,1,1.1,direct_human
46079290,0,1,1.2,direct_human
46079290,0,1,1.3,direct_human
183968,0.4,1,1.3,direct_human
183838,0,1,1.1,direct_human
183838,0,1,1.2,direct_human
183838,0,1,1.3,direct_human
179114,0,0,4.3,shipping
183474,0,1,1.1,direct_human
183474,0,1,1.2,direct_human
183474,0,1,1.3,direct_human
183236,NA,1,1.3,direct_human
185179,0,0,1.1,direct_human
185179,0,0,1.2,direct_human
185179,0,0,1.3,direct_human
46080080,0,1,1.1,direct_human
46080080,0,1,1.2,direct_human
46080080,0,1,1.3,direct_human
185169,0,0,1.1,direct_human
185169,0,0,1.2,direct_human
185169,0,0,1.3,direct_human
179081,0.6,0,1.1,direct_human
179081,0.6,0,1.2,direct_human
179081,0.6,0,1.3,direct_human
178926,0,0,1.1,direct_human
178926,0,0,1.2,direct_human
178926,0,0,1.3,direct_human
46079911,0,1,1.1,direct_human
46079911,0,1,1.2,direct_human
46079911,0,1,1.3,direct_human
178929,0,0,1.2,direct_human
178929,0,0,1.3,direct_human
178958,0,1,1.1,direct_human
178958,0,1,1.2,direct_human
178958,0,1,1.3,direct_human
179054,0,0,1.2,direct_human
179054,0,0,1.3,direct_human
183804,0,1,1.1,direct_human
183804,0,1,1.2,direct_human
185181,0,0,1.1,direct_human
