meow,impact,adj_r2,term,estimate,std.error,statistic,p.value,sig
1,climate,0.8042482310497072,year,-0.018369821849734527,0.0028316575375151565,-6.48730349852068,1.1310972833344782e-4,TRUE
1,fishing,-0.10458385863803654,year,1.8920614613703553e-4,8.204424553409643e-4,0.23061476756270996,0.8227709328734609,FALSE
1,land-based,NaN,year,0,0,NaN,NaN,NA
1,ocean,0.9881517975828285,year,0.0013355085146585914,4.6216904275220173e-5,28.896537654397648,3.469047030131108e-10,TRUE
2,climate,0.370562477203604,year,-0.002165646013432848,8.252130997098554e-4,-2.6243475948143433,0.02761338499056543,TRUE
2,fishing,0.2703294730919257,year,0.003814660995364392,0.0017586711804291053,2.169058683519018,0.05820264261566037,FALSE
2,land-based,0.14461869020287155,year,-1.790783200988745e-5,1.0917192412174383e-5,-1.6403330942410985,0.13535587719514897,FALSE
2,ocean,0.9865917715855301,year,0.0023091981062045106,8.50713325175315e-5,27.14425691790629,6.056159488852044e-10,TRUE
3,climate,0.36338649915424825,year,-0.011594760311910184,0.004476735422548206,-2.590003477424699,0.029213306904721712,TRUE
3,fishing,-0.02618605987432665,year,0.003912010340294054,0.004532876491859726,0.8630304283205947,0.41052858443942697,FALSE
3,land-based,0.1636444818511803,year,-2.4779043519995546e-6,1.4410713239273458e-6,-1.719487655369154,0.11964157508389259,FALSE
3,ocean,0.9917891851448885,year,0.0021559552569700427,6.200739576247262e-5,34.76932437589718,6.651599518220761e-11,TRUE
4,climate,-0.10887033216781083,year,8.755594836304556e-5,6.492400109464932e-4,0.1348591382028386,0.8956911064628252,FALSE
4,fishing,0.4175340365125846,year,-0.00920123936099701,0.0032194243532006426,-2.858038690006631,0.018840552255623873,TRUE
4,land-based,0.9520119447259121,year,-4.12146631743491e-5,2.9188065155853954e-6,-14.120382065161689,1.9045375756566172e-7,TRUE
4,ocean,0.991022378045837,year,0.0022061918845851674,6.637210402954383e-5,33.239746077706656,9.943454014912324e-11,TRUE
5,climate,0.2714494279448174,year,0.004402312976197269,0.0020250671398312214,2.173909639639987,0.05774459754018243,FALSE
5,fishing,-0.10911718179093088,year,-3.957834724158206e-4,0.0031115030895522006,-0.1272000898037934,0.901578675540728,FALSE
5,land-based,0.2827113374786995,year,6.609291414746991e-5,2.9732429345169005e-5,2.222923440940047,0.05330907670409065,FALSE
5,ocean,0.8285947950138772,year,8.455064302316914e-4,1.2036817747230681e-4,7.024335235334253,6.157301765064938e-5,TRUE
6,climate,0.1342699595289394,year,0.005910136082694883,0.0037003852514817088,1.597167776065572,0.14469274434615953,FALSE
6,fishing,0.001956963287063296,year,-0.0012197176692351121,0.001207932585188645,-1.0097564087524193,0.33898720582091957,FALSE
6,land-based,0.15845922204077512,year,2.1849032677033507e-5,1.2868042729892845e-5,1.6979297579015304,0.12374748533239655,FALSE
6,ocean,0.9843253126796578,year,0.003227209635368244,1.2868021482695413e-4,25.07929940673563,1.2240172153627369e-9,TRUE
7,climate,0.002293052335812784,year,0.00412374871847846,0.00407716171503795,1.0114263320163832,0.33823004061107265,FALSE
7,fishing,0.008440701233752845,year,-0.0010748080972803194,0.0010317891072239053,-1.0416935881133302,0.32472692583661955,FALSE
7,land-based,0.16666666666665308,year,1.0647074722697812e-6,6.147091457231803e-7,1.732050807568832,0.11730680301424654,FALSE
7,ocean,0.9881349281569779,year,0.0027905869097008405,9.66411366598005e-5,28.875766636772514,3.4913508342876714e-10,TRUE
8,climate,0.15941997045770795,year,0.002954230779776654,0.0017358177038683874,1.701924558778811,0.12297703455146661,FALSE
8,fishing,0.1378094170650227,year,1.246614196921925e-4,7.733606923693417e-5,1.6119440892485477,0.1414332125832177,FALSE
8,land-based,0.6248584186436066,year,1.4996853959604336e-4,3.5690003688952544e-5,4.201976018356773,0.0022999541042603346,TRUE
8,ocean,0.9527777911127615,year,0.004718878519010866,3.313924059762987e-4,14.23954934968655,1.7710122277510702e-7,TRUE
9,climate,-0.019848209377148818,year,0.009278134343952018,0.01033855956342253,0.8974300807607416,0.3928630920594245,FALSE
9,fishing,-0.04006057126763274,year,-8.623816450144565e-5,1.099825728253563e-4,-0.7841075389133249,0.45311881927968045,FALSE
9,land-based,0.5555555555555741,year,1.138251324357316e-5,3.097927715247244e-6,3.674234614174891,0.005121072764271651,TRUE
9,ocean,0.9862373367938211,year,0.0014451851704651354,5.3948727577901626e-5,26.78812337841142,6.811526508511515e-10,TRUE
10,climate,0.7850274201561315,year,-0.041354130434341295,0.006751520600644433,-6.125158002242346,1.7386276682314288e-4,TRUE
10,fishing,-0.08914952996112202,year,-6.531691730025811e-6,1.5332620157509813e-5,-0.42599970930778147,0.6801148983140801,FALSE
10,land-based,NaN,year,0,0,NaN,NaN,NA
10,ocean,0.9700702545733784,year,2.0860405408174937e-4,1.1569210555129085e-5,18.030967029921243,2.2603543214727013e-8,TRUE
11,climate,-0.10485863708708543,year,-0.003062281703300505,0.01356910784785858,-0.22568040121987692,0.8264915008165331,FALSE
11,fishing,-0.07958544619594066,year,-2.6141550579845878e-5,5.099251970689998e-5,-0.5126546154240849,0.6205372083272481,FALSE
