stressor,impact_km2,coastal_km2,iucn_sid
cum_fishing,121097.177,173148.163,107605014
cum_land-based,0,173148.163,107605014
cum_ocean,0,173148.163,107605014
art_fish,6418213.282,14613155.682,110847130
dem_dest,7756719.839,14613155.682,110847130
pel_hb,7706131.549,14613155.682,110847130
pel_lb,10863105.118,14613155.682,110847130
cum_all,11547443.804,14613155.682,110847130
cum_climate,0,14613155.682,110847130
art_fish,6418213.282,14613155.682,110847130
dem_dest,7756719.839,14613155.682,110847130
pel_hb,7706131.549,14613155.682,110847130
pel_lb,10863105.118,14613155.682,110847130
cum_fishing,11547443.804,14613155.682,110847130
cum_land-based,0,14613155.682,110847130
cum_ocean,0,14613155.682,110847130
dem_nondest_lb,28997.165,1718348.812,11130
cum_all,28997.165,1718348.812,11130
cum_climate,0,1718348.812,11130
dem_nondest_lb,28997.165,1718348.812,11130
cum_fishing,28997.165,1718348.812,11130
cum_land-based,0,1718348.812,11130
cum_ocean,0,1718348.812,11130
art_fish,846047.264,5972299.127,11200
dem_dest,3122451.347,5972299.127,11200
pel_hb,2391938.654,5972299.127,11200
pel_lb,4325876.489,5972299.127,11200
cum_all,4701776.889,5972299.127,11200
cum_climate,0,5972299.127,11200
art_fish,846047.264,5972299.127,11200
dem_dest,3122451.347,5972299.127,11200
pel_hb,2391938.654,5972299.127,11200
pel_lb,4325876.489,5972299.127,11200
cum_fishing,4701776.889,5972299.127,11200
cum_land-based,0,5972299.127,11200
cum_ocean,0,5972299.127,11200
art_fish,368355.514,1580969,11533
dem_dest,1007733.137,1580969,11533
dem_nondest_hb,781021.518,1580969,11533
pel_hb,430255.895,1580969,11533
cum_all,1217536.874,1580969,11533
cum_climate,0,1580969,11533
art_fish,368355.514,1580969,11533
dem_dest,1007733.137,1580969,11533
dem_nondest_hb,781021.518,1580969,11533
pel_hb,430255.895,1580969,11533
cum_fishing,1217536.874,1580969,11533
cum_land-based,0,1580969,11533
cum_ocean,0,1580969,11533
art_fish,5818922.235,12513225.974,11534
direct_human,934590.526,12513225.974,11534
light,382168.595,12513225.974,11534
nutrient,1232587.352,12513225.974,11534
cum_all,6409575.959,12513225.974,11534
cum_climate,0,12513225.974,11534
art_fish,5818922.235,12513225.974,11534
cum_fishing,5818922.235,12513225.974,11534
direct_human,934590.526,12513225.974,11534
