iucn_sid,sens,stressor,code,score_num,category
10066,FALSE,direct_human,1.1,NA,land-based
10066,FALSE,direct_human,1.2,NA,land-based
10066,FALSE,direct_human,1.3,NA,land-based
10066,FALSE,nutrient,9.1.1,NA,land-based
10066,FALSE,nutrient,9.1.2,NA,land-based
10066,FALSE,organic,9.1.2,NA,land-based
10066,FALSE,nutrient,9.3.1,NA,land-based
10069,FALSE,direct_human,1.1,NA,land-based
10069,FALSE,direct_human,1.2,NA,land-based
10069,FALSE,direct_human,1.3,NA,land-based
10069,FALSE,nutrient,9.1.1,NA,land-based
10069,FALSE,nutrient,9.1.2,NA,land-based
10069,FALSE,organic,9.1.2,NA,land-based
10069,FALSE,nutrient,9.3.1,NA,land-based
10070,FALSE,direct_human,1.1,NA,land-based
10070,FALSE,direct_human,1.2,NA,land-based
10070,FALSE,direct_human,1.3,NA,land-based
10070,FALSE,nutrient,9.1.1,NA,land-based
10070,FALSE,nutrient,9.1.2,NA,land-based
10070,FALSE,organic,9.1.2,NA,land-based
10070,FALSE,nutrient,9.3.1,NA,land-based
10072,FALSE,direct_human,1.1,NA,land-based
10072,FALSE,direct_human,1.2,NA,land-based
10072,FALSE,direct_human,1.3,NA,land-based
10072,FALSE,direct_human,6.1,NA,land-based
10074,FALSE,direct_human,1.1,NA,land-based
10074,FALSE,direct_human,1.2,NA,land-based
10074,FALSE,direct_human,1.3,NA,land-based
10074,FALSE,nutrient,9.1.1,NA,land-based
10074,FALSE,nutrient,9.1.2,NA,land-based
10074,FALSE,organic,9.1.2,NA,land-based
10074,FALSE,nutrient,9.3.1,NA,land-based
10082,FALSE,direct_human,1.1,NA,land-based
10082,FALSE,direct_human,1.2,NA,land-based
10082,FALSE,direct_human,1.3,NA,land-based
10083,FALSE,direct_human,1.1,NA,land-based
10083,FALSE,direct_human,1.2,NA,land-based
10083,FALSE,direct_human,1.3,NA,land-based
10083,FALSE,nutrient,9.1.1,NA,land-based
10083,FALSE,nutrient,9.1.2,NA,land-based
10083,FALSE,organic,9.1.2,NA,land-based
10083,FALSE,nutrient,9.3.1,NA,land-based
10088,TRUE,direct_human,1.1,7,land-based
10088,TRUE,direct_human,1.2,7,land-based
10088,FALSE,direct_human,1.3,NA,land-based
10088,FALSE,nutrient,9.1.1,NA,land-based
10088,FALSE,nutrient,9.1.2,NA,land-based
10088,FALSE,organic,9.1.2,NA,land-based
10088,FALSE,nutrient,9.3.1,NA,land-based
10089,FALSE,direct_human,1.1,NA,land-based
10089,FALSE,direct_human,1.2,NA,land-based
10089,FALSE,direct_human,1.3,NA,land-based
10089,FALSE,nutrient,9.1.1,NA,land-based
10089,FALSE,nutrient,9.1.2,NA,land-based
10089,FALSE,organic,9.1.2,NA,land-based
10089,FALSE,nutrient,9.3.1,NA,land-based
10268,TRUE,direct_human,1.2,3,land-based
10268,TRUE,nutrient,9.1.1,3,land-based
10268,TRUE,organic,9.2.1,3,land-based
10269,TRUE,organic,9.3.3,3,land-based
10340,FALSE,direct_human,6.1,NA,land-based
11140,FALSE,direct_human,6.1,NA,land-based
11143,TRUE,nutrient,2.4.2,3,land-based
11146,FALSE,direct_human,6.1,1,land-based
11150,FALSE,direct_human,1.1,NA,land-based
11150,FALSE,direct_human,1.2,NA,land-based
11150,FALSE,direct_human,1.3,NA,land-based
11150,FALSE,nutrient,2.4.1,NA,land-based
11150,FALSE,nutrient,2.4.2,NA,land-based
11150,FALSE,nutrient,9.1.1,NA,land-based
11150,FALSE,nutrient,9.1.2,NA,land-based
11150,FALSE,organic,9.1.2,NA,land-based
11150,FALSE,organic,9.2.1,NA,land-based
11150,FALSE,organic,9.2.2,NA,land-based
11150,FALSE,nutrient,9.3.1,NA,land-based
11150,FALSE,organic,9.3.3,NA,land-based
11534,TRUE,direct_human,1.1,4,land-based
11534,TRUE,direct_human,1.2,4,land-based
11534,TRUE,direct_human,1.3,4,land-based
11534,FALSE,nutrient,2.4.1,NA,land-based
11534,FALSE,nutrient,2.4.2,NA,land-based
11534,TRUE,direct_human,6.1,4,land-based
11534,FALSE,direct_human,6.3,NA,land-based
11534,TRUE,nutrient,9.1.1,4,land-based
11534,TRUE,light,9.6.1,4,land-based
11696,FALSE,direct_human,6.1,NA,land-based
12246,TRUE,direct_human,6.1,3,land-based
12302,TRUE,direct_human,1.1,3,land-based
12302,TRUE,direct_human,1.2,3,land-based
12302,TRUE,nutrient,2.4.3,3,land-based
12302,FALSE,nutrient,9.1.1,NA,land-based
12302,TRUE,organic,9.2.1,3,land-based
12303,TRUE,direct_human,1.1,3,land-based
12303,TRUE,direct_human,1.2,3,land-based
12303,TRUE,direct_human,1.3,3,land-based
12303,FALSE,direct_human,6.1,1,land-based
12303,TRUE,direct_human,6.3,3,land-based
12303,FALSE,organic,9.2.1,1,land-based
