eez,val_mean,val_var,a_km2,year,impact
1,0.030729577456953976,0.0011701999543181011,470276.10427541216,2003,climate
2,0.003821047322147666,1.766244711364093e-4,330244.23029043333,2003,climate
3,0.050755051153150724,0.0052181141301013605,432762.99763008044,2003,climate
4,0.07506455524963858,0.011437323529861414,475427.4105727474,2003,climate
5,0.04198570357519572,0.006940370502171339,1371891.8073793594,2003,climate
6,0.14652632488793027,0.015412171455176994,621635.7873125,2003,climate
7,0.10689064872397225,0.016281287824107815,1607790.0243401737,2003,climate
8,0.03714457932846693,0.006137300425555609,608156.2883439019,2003,climate
9,0.020719222254372116,0.0033242656796873887,3010915.3920788644,2003,climate
10,0.10149175654114363,0.00227213747475065,309784.8379646826,2003,climate
11,0.055147506618276464,0.010545961665276566,2003934.1241497751,2003,climate
12,0.13606513202728976,1.7328615152155103e-5,409538.02010746935,2003,climate
13,0.11312728379393967,0.0032094256310557815,976310.0811383444,2003,climate
14,0.09648842594840026,0.026430065662061585,342182.4415944863,2003,climate
15,0.15842557453960934,0.08686839903545054,1830947.5125717814,2003,climate
16,0.0635977658750664,0.011682624946996565,6958627.1410884755,2003,climate
17,0.033026499126252405,0.01416679388595845,2405997.990851046,2003,climate
18,0.141501613101168,0.017944093965254756,1289276.1716676492,2003,climate
19,0.08453437005651315,0.005133580646060015,747968.9763842642,2003,climate
20,0.10153028702036754,0.004314103641476455,325237.0103425239,2003,climate
21,0.14727732517069828,0.0074500843170776975,116131.00037764767,2003,climate
24,0.4714030235269557,0.0017018765346077116,47826.19822795977,2003,climate
25,0.4091540818033853,0.05928174504022315,307069.9013025786,2003,climate
26,0.04678188893734549,0.02989230091722461,664068.7887733956,2003,climate
28,0.017570714947119488,0.012922365560421019,165274.9340384028,2003,climate
29,0.029575974160605173,0.021393066598054733,63653.86848826811,2003,climate
30,0.026957939432044095,0.01947351612326973,43846.794489988955,2003,climate
31,0.03155120896472511,0.0212993733729183,1340756.0511784144,2003,climate
32,0.003598562254673244,0.0025823695652709127,316556.89769896655,2003,climate
33,0.02465887578540301,0.016665710170196982,62757.913199536786,2003,climate
34,1.4740203906154036e-4,4.193365114192333e-6,122886.46832907284,2003,climate
35,0.00280827576808015,0.0011449463623783623,125915.77525636103,2003,climate
36,6.127073092518313e-4,4.827697451213364e-4,271867.41621694993,2003,climate
37,0.01024865403017798,0.007810145270654867,1280387.352064579,2003,climate
38,0.02479311024741946,0.011676557164067096,642950.9653507594,2003,climate
39,0.006859374592946438,0.0024379819086549083,922100.4196812327,2003,climate
40,0.012917053862539867,0.0060067367341425,533876.7044826233,2003,climate
41,0.09209476326990182,0.04423005752990182,574461.9073133098,2003,climate
42,0.08570832214257514,0.04992061697693757,1204658.171930188,2003,climate
43,0.013795129290068871,0.005352162176270726,113143.6094567071,2003,climate
44,0.053112918613939394,0.018747415310838268,782341.0000201372,2003,climate
45,0.566083019726774,0.06590917182446719,79241.39476781989,2003,climate
46,0.3419694517019519,0.08580428092046599,6978.146907149391,2003,climate
47,0.07607192930308952,0.03687899432824453,549161.2127544791,2003,climate
48,0.07608580526669506,0.01587776446653572,538811.4445574345,2003,climate
49,0.24866078289301696,0.0937693275170058,67146.87158407478,2003,climate
50,0.3450508792188123,0.0929261179319047,220612.8354084064,2003,climate
51,0.4266051199955391,0.010299030372590761,11817.702683632866,2003,climate
52,0.4638831756257071,9.926149759883153e-4,7269.81267851454,2003,climate
53,0.0635136232639228,0.009684389770025685,222582.8891656227,2003,climate
54,0.450806045756425,0.004899847417750959,53629.82290118264,2003,climate
55,0.11075785149228935,4.063168065837419e-4,956835.715671176,2003,climate
56,0.10582440308762538,3.295815590007811e-4,800403.3189574188,2003,climate
57,0.0746799879593955,0.003207500710035534,455325.17781000386,2003,climate
58,0.07405062777784029,0.0029094181451548608,449816.71195999417,2003,climate
59,0.17135006116357415,0.0057338955996341,3437.1150296768797,2003,climate
60,0.09881984430081409,2.5797232335007394e-5,420.90687413977173,2003,climate
61,0.05810853167420305,0.001398374629117501,99719.1253557578,2003,climate
62,0.050379211270261744,0.0038322410467924936,274777.96100855886,2003,climate
63,0.046368281385235834,0.0028628712412118143,252913.50822788282,2003,climate
64,0.09601493029813425,0.0014215119328659879,156380.00167969576,2003,climate
65,0.0897002034048695,5.514367238303515e-4,20668.09925731595,2003,climate
66,0.09562249609686067,7.440052145561084e-4,160129.7404779088,2003,climate
67,0.06175980067449099,6.492553378157654e-4,357310.63797690766,2003,climate
68,0.057573254795965666,2.951668750372067e-4,54928.34677923298,2003,climate
69,0.2184954504088832,0.003697295366162154,29302.802892077827,2003,climate
70,0.26359153563076654,0.013585244513794727,36181.399209337986,2003,climate
71,0.045635049116305816,0.011009988344715373,35077.6102501091,2003,climate
72,0.13665252129614813,0.016039327594771793,29220.717319840445,2003,climate
73,0.2725494365577733,0.11095374136928766,7668814.0500031235,2003,climate
74,0.11810289802360863,0.062323913748167856,22800.57765015656,2003,climate
75,0.11005766878953009,0.023402742471337955,132677.3559912722,2003,climate
76,0.03772621437052486,0.008477011096436303,255982.11142171288,2003,climate
77,0.06669518892055613,5.366784292913614e-4,10436.219964995365,2003,climate
78,0.06620837639476021,6.453418278669444e-4,19238.587742940446,2003,climate
79,0.06926339072429277,0.0014090589506095953,27701.260966673646,2003,climate
80,0.0684323554989454,0.0014668726147172024,493026.0333702453,2003,climate
81,0.07522630510943382,6.777790671701436e-4,98279.13483994301,2003,climate
82,0.063261875538838,0.005091275360725437,11398.542307125199,2003,climate
84,0.09081344547999233,0.0014548953484210835,127890.19524225696,2003,climate
