iucn_sid,cat_score,sens,code,stressor
194309,NA,0,1.1,direct_human
194309,NA,0,1.2,direct_human
194309,NA,0,1.3,direct_human
194309,NA,0,5.4.1,art_fish
194309,NA,0,5.4.3,art_fish
194309,NA,0,6.1,direct_human
194302,NA,0,5.4.1,art_fish
194302,NA,0,6.1,direct_human
194306,NA,0,5.4.3,art_fish
194307,NA,0,5.4.1,art_fish
194307,NA,0,6.1,direct_human
194299,0.4,0,11.1,sst
194299,0.4,0,11.1,slr
194299,0.4,0,11.1,oa
194299,0.4,0,11.1,uv
194299,0.4,0,2.4.3,nutrient
194299,0.4,0,5.4.1,art_fish
194299,0.4,0,6.1,direct_human
194299,0.4,0,6.3,direct_human
166868,NA,0,1.1,direct_human
166868,NA,0,1.2,direct_human
166868,NA,0,1.3,direct_human
166868,NA,0,5.4.1,art_fish
166868,NA,0,5.4.2,dem_nondest_hb
166868,NA,0,5.4.2,dem_nondest_lb
166868,NA,0,5.4.2,pel_hb
166868,NA,0,5.4.2,pel_lb
166868,NA,0,5.4.3,art_fish
166868,NA,0,5.4.4,dem_nondest_hb
166868,NA,0,5.4.4,dem_nondest_lb
166868,NA,0,5.4.4,pel_hb
166868,NA,0,5.4.4,pel_lb
191823,0.4,0,1.1,direct_human
191823,0.4,0,1.2,direct_human
191823,0.4,0,1.3,direct_human
191823,0.4,0,5.4.1,art_fish
191823,0.4,0,5.4.3,art_fish
191823,0.4,0,5.4.4,dem_nondest_hb
191823,0.4,0,5.4.4,dem_nondest_lb
191823,0.4,0,5.4.4,pel_hb
191823,0.4,0,5.4.4,pel_lb
191823,0.4,0,6.1,direct_human
191823,0.4,0,9.1.1,nutrient
191823,0.4,0,9.1.2,nutrient
191823,0.4,0,9.1.2,organic
191823,0.4,0,9.3.1,nutrient
191823,0.4,0,9.3.3,organic
199659,NA,0,5.4.1,art_fish
199659,NA,0,5.4.2,dem_nondest_hb
199659,NA,0,5.4.2,dem_nondest_lb
199659,NA,0,5.4.2,pel_hb
199659,NA,0,5.4.2,pel_lb
199659,NA,0,6.1,direct_human
199659,NA,0,6.3,direct_human
172363,0,0,5.4.1,art_fish
172363,0,0,5.4.2,dem_nondest_hb
172363,0,0,5.4.2,dem_nondest_lb
172363,0,0,5.4.2,pel_hb
172363,0,0,5.4.2,pel_lb
172363,0,0,6.1,direct_human
194298,NA,0,5.4.1,art_fish
194305,NA,0,5.4.3,art_fish
194301,NA,0,5.4.1,art_fish
194301,NA,0,5.4.2,dem_nondest_hb
194301,NA,0,5.4.2,dem_nondest_lb
194301,NA,0,5.4.2,pel_hb
194301,NA,0,5.4.2,pel_lb
194301,NA,0,6.1,direct_human
194301,NA,0,6.3,direct_human
194303,0.2,0,11.1,sst
194303,0.2,0,11.1,slr
194303,0.2,0,11.1,oa
194303,0.2,0,11.1,uv
194303,0.2,0,11.3,sst
194303,0.2,0,5.4.1,art_fish
194303,0.2,0,6.1,direct_human
194303,0.2,0,6.3,direct_human
165662,0,1,5.4.1,art_fish
165618,0,1,5.4.1,art_fish
165648,0,1,5.4.1,art_fish
165657,0,0,11.1,sst
165657,0,0,11.1,slr
165657,0,0,11.1,oa
165657,0,0,11.1,uv
165657,0,1,5.4.1,art_fish
165627,0,0,11.1,sst
165627,0,0,11.1,slr
165627,0,0,11.1,oa
165627,0,0,11.1,uv
165627,0,1,5.4.1,art_fish
165676,NA,0,11.1,sst
165676,NA,0,11.1,slr
165676,NA,0,11.1,oa
165676,NA,0,11.1,uv
165676,NA,0,5.4.1,art_fish
165692,0,0,11.1,sst
165692,0,0,11.1,slr
165692,0,0,11.1,oa
165692,0,0,11.1,uv
165692,0,1,5.4.1,art_fish
165609,0,0,11.1,sst
165609,0,0,11.1,slr
165609,0,0,11.1,oa
165609,0,0,11.1,uv
165609,0,0,5.4.1,art_fish
165681,0,0,5.4.2,dem_nondest_hb
165681,0,0,5.4.2,dem_nondest_lb
165681,0,0,5.4.2,pel_hb
165681,0,0,5.4.2,pel_lb
165711,0,0,11.1,sst
165711,0,0,11.1,slr
165711,0,0,11.1,oa
165711,0,0,11.1,uv
165711,0,0,5.4.3,art_fish
165623,0,0,11.1,sst
165623,0,0,11.1,slr
165623,0,0,11.1,oa
165623,0,0,11.1,uv
165623,0,0,5.4.1,art_fish
165683,0,0,5.4.1,art_fish
165688,0,1,5.4.1,art_fish
165646,0,1,5.4.1,art_fish
165621,0,1,5.4.1,art_fish
165631,0,0,11.1,sst
165631,0,0,11.1,slr
165631,0,0,11.1,oa
165631,0,0,11.1,uv
165631,0,0,5.4.1,art_fish
165607,0,1,11.1,sst
165607,0,1,11.1,slr
165607,0,1,11.1,oa
165607,0,1,11.1,uv
165607,0,0,5.4.1,art_fish
165666,0,1,5.4.1,art_fish
165725,0,1,5.4.1,art_fish
165669,0,0,11.1,sst
165669,0,0,11.1,slr
165669,0,0,11.1,oa
165669,0,0,11.1,uv
165669,0,0,5.4.1,art_fish
165608,0,1,5.4.1,art_fish
165668,0,0,11.1,sst
165668,0,0,11.1,slr
165668,0,0,11.1,oa
165668,0,0,11.1,uv
165668,0,1,5.4.1,art_fish
165712,0.2,2,11.3,sst
165712,0.2,0,5.4.1,art_fish
165691,0,0,11.1,sst
165691,0,0,11.1,slr
165691,0,0,11.1,oa
165691,0,0,11.1,uv
165691,0,0,5.4.1,art_fish
165678,0,0,11.1,sst
165678,0,0,11.1,slr
165678,0,0,11.1,oa
165678,0,0,11.1,uv
165678,0,0,5.4.1,art_fish
165650,0,1,5.4.1,art_fish
165667,0,0,11.1,sst
165667,0,0,11.1,slr
165667,0,0,11.1,oa
165667,0,0,11.1,uv
165667,0,1,5.4.1,art_fish
4361,0,1,5.4.1,art_fish
165694,0,0,11.1,sst
165694,0,0,11.1,slr
165694,0,0,11.1,oa
165694,0,0,11.1,uv
165694,0,0,5.4.1,art_fish
165642,0,1,5.4.1,art_fish
165687,0,0,11.1,sst
165687,0,0,11.1,slr
165687,0,0,11.1,oa
165687,0,0,11.1,uv
165687,0,1,5.4.1,art_fish
165656,0,1,5.4.1,art_fish
165673,0,2,11.1,sst
165673,0,2,11.1,slr
165673,0,2,11.1,oa
165673,0,2,11.1,uv
165673,0,0,5.4.1,art_fish
154788,0,0,11.1,sst
154788,0,0,11.1,slr
154788,0,0,11.1,oa
154788,0,0,11.1,uv
154788,0,1,5.4.1,art_fish
155193,0,1,5.4.1,art_fish
165637,0,0,5.4.2,dem_nondest_hb
165637,0,0,5.4.2,dem_nondest_lb
165637,0,0,5.4.2,pel_hb
165637,0,0,5.4.2,pel_lb
165693,0,1,5.4.1,art_fish
165724,0,0,11.1,sst
165724,0,0,11.1,slr
165724,0,0,11.1,oa
165724,0,0,11.1,uv
165724,0,0,5.4.1,art_fish
165634,0,0,11.1,sst
165634,0,0,11.1,slr
165634,0,0,11.1,oa
165634,0,0,11.1,uv
165634,0,1,5.4.1,art_fish
165670,0,0,11.1,sst
165670,0,0,11.1,slr
165670,0,0,11.1,oa
165670,0,0,11.1,uv
165670,0,1,5.4.1,art_fish
165677,0,1,5.4.1,art_fish
165625,0,1,5.4.1,art_fish
165613,0,1,5.4.1,art_fish
165659,0,0,5.4.2,dem_nondest_hb
165659,0,0,5.4.2,dem_nondest_lb
165659,0,0,5.4.2,pel_hb
165659,0,0,5.4.2,pel_lb
165640,0,0,11.1,sst
165640,0,0,11.1,slr
165640,0,0,11.1,oa
165640,0,0,11.1,uv
165640,0,0,5.4.1,art_fish
165624,0,0,11.1,sst
165624,0,0,11.1,slr
165624,0,0,11.1,oa
165624,0,0,11.1,uv
165624,0,0,5.4.1,art_fish
165612,0,0,11.1,sst
165612,0,0,11.1,slr
165612,0,0,11.1,oa
165612,0,0,11.1,uv
165612,0,1,5.4.1,art_fish
165647,0,0,5.4.1,art_fish
165674,0,1,5.4.1,art_fish
165632,0,0,11.1,sst
165632,0,0,11.1,slr
165632,0,0,11.1,oa
165632,0,0,11.1,uv
165632,0,0,5.4.1,art_fish
165643,0,1,5.4.1,art_fish
165655,0,0,11.1,sst
165655,0,0,11.1,slr
165655,0,0,11.1,oa
165655,0,0,11.1,uv
165655,0,0,5.4.1,art_fish
165682,0,0,5.4.1,art_fish
165661,0,1,5.4.1,art_fish
165695,0,0,11.1,sst
165695,0,0,11.1,slr
165695,0,0,11.1,oa
165695,0,0,11.1,uv
165695,0,1,5.4.2,dem_nondest_hb
165695,0,1,5.4.2,dem_nondest_lb
165695,0,1,5.4.2,pel_hb
165695,0,1,5.4.2,pel_lb
165616,0,1,5.4.1,art_fish
165638,0,0,11.1,sst
165638,0,0,11.1,slr
165638,0,0,11.1,oa
165638,0,0,11.1,uv
165638,0,0,5.4.1,art_fish
165703,0,0,11.1,sst
165703,0,0,11.1,slr
165703,0,0,11.1,oa
165703,0,0,11.1,uv
165703,0,1,5.4.1,art_fish
165649,0,0,5.4.1,art_fish
165685,0,1,5.4.1,art_fish
165689,0,0,11.1,sst
165689,0,0,11.1,slr
165689,0,0,11.1,oa
165689,0,0,11.1,uv
165689,0,0,5.4.1,art_fish
165686,NA,0,11.1,sst
165686,NA,0,11.1,slr
165686,NA,0,11.1,oa
165686,NA,0,11.1,uv
165686,NA,1,5.4.1,art_fish
165697,0,1,5.4.1,art_fish
4362,0,1,5.4.1,art_fish
165717,0.2,1,11.1,sst
