eez,impact,adj_r2,term,estimate,std.error,statistic,p.value,sig
1,climate,0.4280881205297128,year,0.005414571333279082,0.0018588003747616458,2.9129385849050053,0.017228653586879437,TRUE
1,fishing,0.573686299654016,year,-0.0035950552317854496,9.455138662327544e-4,-3.8022237009694635,0.004202989866222193,TRUE
1,land-based,0.4252873563218619,year,-4.086240685253296e-21,2.3591921596042037e-21,-1.7320508075691619,0.1173068030141858,FALSE
1,ocean,0.9478785453249619,year,5.745193552101456e-4,4.2485997049185256e-5,13.522557904079198,2.766638086491573e-7,TRUE
2,climate,0.7626696741486083,year,0.004707291271493145,8.177587311902008e-4,5.756332634494717,2.7410196027548067e-4,TRUE
2,fishing,-0.06442034316320644,year,-0.0013310251578843883,0.0021183908116644105,-0.6283189818212096,0.5454074763140788,FALSE
2,land-based,0.4252873563218619,year,-8.172481370506592e-21,4.718384319208407e-21,-1.7320508075691619,0.1173068030141858,FALSE
2,ocean,0.9000987321280907,year,7.87089728904742e-4,8.246465496038478e-5,9.544570692533089,5.267046890051627e-6,TRUE
3,climate,0.8056441593282779,year,0.009471599286618084,0.0014536978626040996,6.515521230560949,1.0945871685913387e-4,TRUE
3,fishing,0.24885782626667308,year,-2.761172218371109e-4,1.3295381410643336e-4,-2.076790528296323,0.06761598599250901,FALSE
3,land-based,NaN,year,0,0,NaN,NaN,NA
3,ocean,0.9809899302112217,year,1.8267856992901514e-4,8.033906877403021e-6,22.738447522068665,2.919845183234871e-9,TRUE
4,climate,-0.018725940176286038,year,0.003183286886363833,0.0035235632727790814,0.9034283309046788,0.38983881324868275,FALSE
4,fishing,NaN,year,0,0,NaN,NaN,NA
4,land-based,NaN,year,0,0,NaN,NaN,NA
4,ocean,0.9441526762945891,year,6.396269753558577e-4,4.9048550996429766e-5,13.040690547666047,3.7801619508757766e-7,TRUE
5,climate,0.8259682361946252,year,0.015663218008652727,0.002250017084150757,6.961377368636571,6.600790108486923e-5,TRUE
5,fishing,0.5551546262457951,year,-0.0034086686304722947,9.284196595994767e-4,-3.671473988328517,0.005143060860784794,TRUE
5,land-based,0.7108667522397623,year,-1.2646950118509277e-5,2.500250410951118e-6,-5.05827338858361,6.826370295391602e-4,TRUE
5,ocean,0.9630921050161274,year,0.0010615089102892722,6.558715658102634e-5,16.184706970455178,5.819626666974864e-8,TRUE
6,climate,0.30518357685819286,year,0.005918494921716532,0.0025487346755529742,2.3221306550602225,0.045327419252895976,TRUE
6,fishing,-0.056987783778593704,year,-5.430090366423633e-4,7.998868229469612e-4,-0.678857334643665,0.5143043791143931,FALSE
6,land-based,0.7840912173494078,year,5.324611735317149e-5,8.716482109026572e-6,6.108670526384851,1.7736954424188615e-4,TRUE
6,ocean,0.9683042833901454,year,0.0010659421205619476,6.0886127487843754e-5,17.507142670138922,2.927553166887515e-8,TRUE
7,climate,0.7673286094142988,year,0.0035872873322901054,6.154041482618113e-4,5.82915689213711,2.501808274609797e-4,TRUE
7,fishing,0.18996157684254178,year,-0.004152802880485891,0.0022705820080677545,-1.8289596525165328,0.10066175424663182,FALSE
7,land-based,0.9747394460409968,year,1.0634591649472751e-4,5.406746024129082e-6,19.669116326183953,1.0518236353522728e-8,TRUE
7,ocean,0.9671380001196757,year,9.934911602993265e-4,5.781362391726232e-5,17.18437788506602,3.446009160920114e-8,TRUE
8,climate,0.689484476215039,year,0.009620371836272944,0.001997126921243303,4.817105880423374,9.507983097433844e-4,TRUE
8,fishing,0.18570000624830096,year,0.0011249538957037908,6.211058261736558e-4,1.8112113077961427,0.1035359282430747,FALSE
8,land-based,0.36531235321588473,year,1.6321842074524044e-5,6.279591140798639e-6,2.5991886587138904,0.028776494230604632,TRUE
8,ocean,0.7692963770401362,year,6.566180240689612e-4,1.120409773697545e-4,5.860516745601109,2.405866291378235e-4,TRUE
9,climate,0.845246082450279,year,0.006016821026744226,8.067827430351095e-4,7.457795892000614,3.860295912748688e-5,TRUE
9,fishing,0.8779224311890724,year,0.004020027799314702,4.7078240930452153e-4,8.53903569857977,1.309904341122634e-5,TRUE
9,land-based,-0.002852225121734886,year,1.3084103550681106e-6,1.3274232258240598e-6,0.9856768584532292,0.35004719004064244,FALSE
9,ocean,0.9472340381044969,year,7.627853988159837e-4,5.6773332122348964e-5,13.435628494944572,2.9246760317635116e-7,TRUE
10,climate,0.4376473790246689,year,-0.008467720778946483,0.0028573208460166612,-2.963517657021674,0.015868592480752747,TRUE
10,fishing,0.3431951048784816,year,6.212902727675776e-4,2.4901020758750657e-4,2.4950393752402507,0.03413856476837169,TRUE
10,land-based,0.6666666666666361,year,9.711776809380215e-7,2.119283445785946e-7,4.582575694955499,0.0013229505842681395,TRUE
10,ocean,0.9504753063232252,year,0.0011101503836675672,7.992704944029013e-5,13.889545422252953,2.1960580562448536e-7,TRUE
11,climate,-0.10777265566468164,year,3.2087135431642356e-4,0.0019483286671273944,0.1646905677313236,0.872827123863946,FALSE
11,fishing,-0.10408150497207425,year,2.868671343211224e-4,0.0011983801628132954,0.23937907453981747,0.816174128336798,FALSE
11,land-based,0.6645141516117349,year,-1.4413920888067319e-5,3.1598903238690124e-6,-4.561525689416562,0.0013632932452166539,TRUE
11,ocean,0.9749579706740324,year,7.50296526497229e-4,3.79767430248664e-5,19.75673706420664,1.0114099271644937e-8,TRUE
12,climate,-0.04408526965367887,year,5.891019551008941e-4,7.750256146317092e-4,0.7601064325865337,0.4666350899069509,FALSE
12,fishing,0.6190441042648216,year,0.003152628361630026,7.590690381996792e-4,4.1532827753154935,0.0024722811502137115,TRUE
