name,identifier,spp_count,version
Northeastern Africa,northeastern_africa,305,2020-1
Eastern Africa,eastern_africa,1598,2020-1
Western Africa,western_africa,972,2020-1
Northern Africa,northern_africa,360,2020-1
Central Africa,central_africa,1961,2020-1
Pan-Africa,pan-africa,5106,2020-1
Southern Africa,southern_africa,803,2020-1
Mediterranean,mediterranean,4721,2020-1
Europe,europe,15272,2020-1
