stressor,desc,mean_pct_imp,mean_pct_incr1,mean_pct_decr1,mean_pct_incr2,mean_pct_decr2,mean_pct_incr3,mean_pct_decr3,mean_range_km2,sd_pct_imp,sd_pct_incr2,sd_pct_decr2,sd_pct_incr3,sd_pct_decr3,sd_range_km2
art_fish,all spp,0.2582298740396974,0.032261909526041355,0.007211354034418573,0.1013247715569387,0.02326173569610296,0.005794158242607519,0.0025237283361836324,10159633.167130401,0.28576895963162924,0.13720984975877787,0.04892536207071741,0.02739727508081621,0.008953506847403916,35906804.191681854
cumulative,all spp,0.5708221261243664,0.020781014963035412,0.00699351298953303,0.09482027769450904,0.01901988324458895,0.27350013872790196,0.005048592036056554,10159633.167130401,0.42400046646767,0.1386447609840912,0.05330187986231887,0.3487639199357592,0.016403304360714393,35906804.191681854
dem_dest,all spp,0.10004831839593836,0.0018942797453281963,5.27961881633913e-4,0.004838078774780363,0.005136033902013966,6.462663135029054e-4,9.423980661591961e-4,10159633.167130401,0.23785124343473182,0.023826271870425096,0.029752219949214,0.0050207022955200496,0.01351294084473196,35906804.191681854
dem_nondest_hb,all spp,0.04907126664633685,4.254481316041142e-4,1.3380868919111308e-4,0.0017578699086329326,9.986330074929866e-4,4.418622803839291e-4,8.24615676284775e-4,10159633.167130401,0.1494511692160106,0.007366904735804477,0.004773461597819364,0.0025348582171210504,0.0060579917988371505,35906804.191681854
dem_nondest_lb,all spp,0.007457604104616311,3.239320850255194e-4,9.705798034155898e-6,4.622251656688367e-4,1.7237442665271867e-5,5.7713736559805994e-5,1.594223220158514e-5,10159633.167130401,0.04678858003222477,0.003426827747268806,2.226434794536233e-4,8.505244553047418e-4,2.066206173900607e-4,35906804.191681854
direct_human,all spp,0.05836067513270056,0.04039277241056622,0.007718474933455695,0.008768923730375184,6.942374486011386e-4,6.736068034475276e-6,1.3329805448169948e-7,10159633.167130401,0.11323951121146657,0.05771993075081713,0.001922065932719753,5.3065103072403065e-5,4.642571675867905e-6,35906804.191681854
light,all spp,7.922594433683377e-5,0,0,3.0391738516732385e-5,1.0049467672209457e-9,2.372222337762941e-5,1.2613118503504698e-8,10159633.167130401,0.0012002358287827467,4.710209251938974e-4,3.577102336066024e-8,3.8282833505839486e-4,3.596110429514741e-7,35906804.191681854
nutrient,all spp,0.012809851592263388,1.3511074111040663e-5,4.3903145964709223e-7,0.0029980355941691644,0.0012049153373265011,0.001264118103956906,2.893227224564604e-4,10159633.167130401,0.07749346298728885,0.02266336632396336,0.011289538864723699,0.010157246671985686,0.0024412529149104053,35906804.191681854
oa,all spp,0.2557534874487065,0,0,0.2064075913900261,0,0.011917293424405642,0,10159633.167130401,0.3867763227982078,0.3189782849465694,0,0.03527011296946214,0,35906804.191681854
organic,all spp,0.0038352493168616855,1.586531430809536e-5,2.6907450574356337e-5,6.331361647663543e-4,5.31407115401431e-4,4.2096255216418865e-4,1.490737802317155e-4,10159633.167130401,0.030949610304938122,0.006182931150155409,0.006922029023322903,0.004978841878272108,0.0016491634384467842,35906804.191681854
pel_hb,all spp,0.049516682149168566,0.003186019013198845,8.385470090280172e-4,0.003779098892047815,0.00502465121083582,2.8943507833358067e-4,8.983206840426249e-4,10159633.167130401,0.16932367841650264,0.021620984354253386,0.03106107327083295,0.001989236267620415,0.010875993641164011,35906804.191681854
pel_lb,all spp,0.02754624506492375,0.003467909364202183,0.0012778629067303217,2.478220601527976e-4,2.879531401098694e-4,1.7842458521069494e-5,1.093849784882874e-5,10159633.167130401,0.12974117459869175,0.0019974835502713007,0.0028536676735625875,1.7096042042695378e-4,1.3775249855461281e-4,35906804.191681854
shipping,all spp,0.24559828374457737,8.955486447192394e-5,2.564518175896856e-4,0.14180673444425718,0.009441509994017777,0.03416322671236766,0.0031277283697353437,10159633.167130401,0.34254162771849267,0.2025333749796302,0.023257979296067047,0.05452496354321217,0.010236875390865227,35906804.191681854
slr,all spp,8.055977018036594e-4,0,0,1.1287791230204777e-5,4.625877858050591e-7,7.265928087134729e-4,3.5553273042863664e-8,10159633.167130401,0.01959772718613305,2.867164136365441e-4,9.638009373186228e-6,0.01791620473385781,9.671633085767267e-7,35906804.191681854
sst,all spp,0.3429132598559926,0,0,0.0132221270384968,5.829428954632578e-4,0.2822196705077226,0.003812849653397998,10159633.167130401,0.4312504333887809,0.023579193307392998,0.001979105858565432,0.3745581586496445,0.014832967692762369,35906804.191681854
art_fish,bony fishes,0.08402549364539856,0.007463716143512835,0.0023943887138103714,0.023012044507303066,0.009691731558614065,0.003212752481548919,0.0016313647495312074,6851864.5622825,0.19586885074909233,0.07445964020482915,0.03962058501156175,0.016737168243176826,0.007632028597051837,32006205.96244186
cumulative,bony fishes,0.2409326076679726,0.020344827152736212,0.0035244597262385534,0.03513941000292963,0.01373415970377046,0.08091988841839745,0.002430991630987522,6851864.5622825,0.3315618529982132,0.08195044030023876,0.045923333346179915,0.22438399570832226,0.011516178210475748,32006205.96244186
dem_dest,bony fishes,0.039167239021783734,5.907008873486133e-4,2.1941642786550686e-4,0.0027050645424926455,0.0031298529360366378,3.0495070605526456e-4,1.8361737163342332e-4,6851864.5622825,0.15654530058903124,0.014214389883174052,0.023882346810163015,0.002200588476971373,0.0014139452002628452,32006205.96244186
dem_nondest_hb,bony fishes,0.04068520072069045,4.0685905634435277e-4,7.877503514790698e-5,6.864487376520197e-4,0.0012005117887109713,3.4834127036370235e-4,9.985956652203783e-4,6851864.5622825,0.14402708396934114,0.0034965693983941555,0.007065949054459573,0.0030870404680684365,0.008347340910764917,32006205.96244186
