iucn_sid,stressor,pct_imp,pct_incr3,pct_decr3,pct_incr2,pct_decr2,pct_incr1,pct_decr1,range_km2,assess_gp,rank,desc
98842673,cumulative,0,0,0,0,0,0,0,49033.0308432933,clupeiformes,Actinopterygii,bony fishes
195023,dem_dest,0.7563013185006712,0.002989926753304221,0,0.02719452764464981,0.02147466774853977,0.009306361177915164,0.008657384826755064,866554.6846734025,clupeiformes,Actinopterygii,bony fishes
195023,pel_hb,0.16913794981905317,0,0,0,0.005874042153498625,0.009256982540407339,0.012775966110135888,866554.6846734025,clupeiformes,Actinopterygii,bony fishes
195023,pel_lb,0.8835994405249368,0,0,0,3.4464272205782806e-4,0.10791247284780635,0.08060104884267029,866554.6846734025,clupeiformes,Actinopterygii,bony fishes
195023,cumulative,0.9757550900266008,0.002989926753304221,0,0.022926802730052237,0.026447801744435215,0.12021783032721195,0.08642672009189015,866554.6846734025,clupeiformes,Actinopterygii,bony fishes
196674,cumulative,0,0,0,0,0,0,0,7405.166563299059,clupeiformes,Actinopterygii,bony fishes
183720,sst,0.1329564998078757,0.1329564998078757,0,0,0,0,0,10659.772171749777,clupeiformes,Actinopterygii,bony fishes
183720,cumulative,0.1329564998078757,0.1329564998078757,0,0,0,0,0,10659.772171749777,clupeiformes,Actinopterygii,bony fishes
98895427,art_fish,0.6052030006875146,0.005514452043136599,0.05326616279077581,0.14309291792730436,0.010771025050787844,0.08092743284513548,0.007471837109445048,1049746.9779496337,clupeiformes,Actinopterygii,bony fishes
98895427,cumulative,0.6052030006875146,0.005514452043136599,0.05326616279077581,0.14309291792730436,0.010771025050787844,0.08092743284513548,0.007471837109445048,1049746.9779496337,clupeiformes,Actinopterygii,bony fishes
154717,cumulative,0,0,0,0,0,0,0,1088.0704588904712,clupeiformes,Actinopterygii,bony fishes
201946,nutrient,0.697594666664007,0,0.005699381791075222,0.060857805306949564,0.19117078840194834,0,0,18079.783953555765,clupeiformes,Actinopterygii,bony fishes
201946,cumulative,0.697594666664007,0,0.005699381791075222,0.060857805306949564,0.19117078840194834,0,0,18079.783953555765,clupeiformes,Actinopterygii,bony fishes
907,art_fish,0,0,0,0,0,0,0,771.9536777705409,clupeiformes,Actinopterygii,bony fishes
907,cumulative,0,0,0,0,0,0,0,771.9536777705409,clupeiformes,Actinopterygii,bony fishes
187944,art_fish,0.8464394829822155,0,0,0,0,0,6.110458080417903e-4,37156.82033581493,clupeiformes,Actinopterygii,bony fishes
187944,dem_nondest_hb,0.9431257344378576,0,0.0061574617996886395,0,0.0796239717869994,0,0,37156.82033581493,clupeiformes,Actinopterygii,bony fishes
187944,cumulative,1,0,0.0061574617996886395,0,0.0796239717869994,0,0,37156.82033581493,clupeiformes,Actinopterygii,bony fishes
198582,art_fish,0.2836811124796026,0.02699583301764645,0.0036241811676298997,0.04020306191203046,0.04152041716514275,0.021466186094932015,0.00845121821239163,2852380.2075588577,clupeiformes,Actinopterygii,bony fishes
198582,dem_dest,0.2797991546012822,3.81460525391755e-4,5.1126731764011966e-5,0.016416273245258635,0.002954635278180027,0.008854721398993265,9.971243504263805e-4,2852380.2075588577,clupeiformes,Actinopterygii,bony fishes
198582,dem_nondest_hb,0.18761551350125236,6.765872987941228e-5,5.495358325730242e-4,0.0049222491011534945,0.007863720013694057,0.004453842513459699,2.2226351819688226e-4,2852380.2075588577,clupeiformes,Actinopterygii,bony fishes
198582,pel_hb,0.3458202978009127,0.007372658465517678,0.0023680555314274966,0.015166270567145437,0.0217793756022116,0.0025523566823958356,0.0036988813068535575,2852380.2075588577,clupeiformes,Actinopterygii,bony fishes
198582,pel_lb,0.7319936700730149,5.176964315756475e-4,1.738921190841057e-4,0.020011370343576397,0.027631090326672044,0.03794062747922892,0.01756218556009371,2852380.2075588577,clupeiformes,Actinopterygii,bony fishes
198582,cumulative,0.7814111774015828,0.03441349525200896,0.006448703510273179,0.06928437577394071,0.07963187528586016,0.05790515716276635,0.024195190235687156,2852380.2075588577,clupeiformes,Actinopterygii,bony fishes
98894402,art_fish,0.7315892334336874,0,0.04640327341145239,0.16911701889827793,0.010328788290306121,0.10784077854134282,0.0072891659720372105,1001777.5665986766,clupeiformes,Actinopterygii,bony fishes
98894402,cumulative,0.7315892334336874,0,0.04640327341145239,0.16911701889827793,0.010328788290306121,0.10784077854134282,0.0072891659720372105,1001777.5665986766,clupeiformes,Actinopterygii,bony fishes
75154879,cumulative,0,0,0,0,0,0,0,1429659.0926470691,clupeiformes,Actinopterygii,bony fishes
192429,cumulative,0,0,0,0,0,0,0,25953.886197852553,cone_snails,Mollusca,cone snails
192272,cumulative,0,0,0,0,0,0,0,9000.595696951084,cone_snails,Mollusca,cone snails
192487,cumulative,0,0,0,0,0,0,0,6643.691871222744,cone_snails,Mollusca,cone snails
192535,cumulative,0,0,0,0,0,0,0,2073.9705856258342,cone_snails,Mollusca,cone snails
192284,cumulative,0,0,0,0,0,0,0,103.0435912546564,cone_snails,Mollusca,cone snails
