scientific,common,order,family,iucn,seabird_all,seabird_pelagic,seabird_coastal
Hydrobates matsudairae,Matsudaira's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,VU,1,1,0
Hydrobates melania,Black Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates microsoma,Least Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates monorhis,Swinhoe's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,NT,1,1,0
Hydrobates monteiroi,Monteiro's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,VU,1,1,0
Hydrobates pelagicus,European Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates socorroensis,Townsend's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,EN,1,1,0
Hydrobates tethys,Wedge-rumped Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,LC,1,1,0
Hydrobates tristrami,Tristram's Storm-petrel,PROCELLARIIFORMES,Hydrobatidae,NT,1,1,0
Hydrocoloeus minutus,Little Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Hydroprogne caspia,Caspian Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Larosterna inca,Inca Tern,CHARADRIIFORMES,Laridae,NT,1,0,1
Larus argentatus,European Herring Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus atlanticus,Olrog's Gull,CHARADRIIFORMES,Laridae,NT,1,0,1
Larus atricilla,Laughing Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus audouinii,Audouin's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus belcheri,Belcher's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus brunnicephalus,Brown-headed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus cachinnans,Caspian Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus californicus,California Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus canus,Mew Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus cirrocephalus,Grey-headed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus crassirostris,Black-tailed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus delawarensis,Ring-billed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus dominicanus,Kelp Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus fuliginosus,Lava Gull,CHARADRIIFORMES,Laridae,VU,1,0,1
Larus fuscus,Lesser Black-backed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus genei,Slender-billed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus glaucescens,Glaucous-winged Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus glaucoides,Iceland Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus hartlaubii,Hartlaub's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus heermanni,Heermann's Gull,CHARADRIIFORMES,Laridae,NT,1,0,1
Larus hemprichii,Sooty Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus hyperboreus,Glaucous Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus ichthyaetus,Pallas's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus leucophthalmus,White-eyed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus livens,Yellow-footed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus maculipennis,Brown-hooded Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus marinus,Great Black-backed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus melanocephalus,Mediterranean Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus michahellis,Yellow-legged Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus modestus,Grey Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus novaehollandiae,Silver Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus occidentalis,Western Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus pacificus,Pacific Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus philadelphia,Bonaparte's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus pipixcan,Franklin's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus ridibundus,Black-headed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus schistisagus,Slaty-backed Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus scoresbii,Dolphin Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Larus smithsonianus,Arctic Herring Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Leucocarbo atriceps,Imperial Shag,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Leucocarbo bougainvilliorum,Guanay Cormorant,SULIFORMES,Phalacrocoracidae,NT,1,0,1
Leucocarbo campbelli,Campbell Shag,SULIFORMES,Phalacrocoracidae,VU,1,0,1
Leucocarbo carunculatus,Rough-faced Shag,SULIFORMES,Phalacrocoracidae,VU,1,0,1
Leucocarbo chalconotus,Stewart Shag,SULIFORMES,Phalacrocoracidae,VU,1,0,1
Leucocarbo colensoi,Auckland Shag,SULIFORMES,Phalacrocoracidae,VU,1,0,1
Leucocarbo magellanicus,Rock Shag,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Leucocarbo onslowi,Chatham Shag,SULIFORMES,Phalacrocoracidae,CR,1,0,1
Leucocarbo ranfurlyi,Bounty Shag,SULIFORMES,Phalacrocoracidae,VU,1,0,1
Leucocarbo verrucosus,Kerguelen Shag,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Macronectes giganteus,Southern Giant Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Macronectes halli,Northern Giant Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Megadyptes antipodes,Yellow-eyed Penguin,SPHENISCIFORMES,Spheniscidae,EN,1,1,0
Melanitta americana,Black Scoter,ANSERIFORMES,Anatidae,NT,1,0,1
Melanitta deglandi,White-winged Scoter,ANSERIFORMES,Anatidae,LC,1,0,1
Melanitta fusca,Velvet Scoter,ANSERIFORMES,Anatidae,VU,1,0,1
Melanitta nigra,Common Scoter,ANSERIFORMES,Anatidae,LC,1,0,1
Melanitta perspicillata,Surf Scoter,ANSERIFORMES,Anatidae,LC,1,0,1
Melanitta stejnegeri,Siberian Scoter,ANSERIFORMES,Anatidae,LC,1,0,1
Mergus merganser,Goosander,ANSERIFORMES,Anatidae,LC,1,0,1
Mergus serrator,Red-breasted Merganser,ANSERIFORMES,Anatidae,LC,1,0,1
Microcarbo coronatus,Crowned Cormorant,SULIFORMES,Phalacrocoracidae,NT,1,0,1
Microcarbo melanoleucos,Little Pied Cormorant,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Morus bassanus,Northern Gannet,SULIFORMES,Sulidae,LC,1,1,0
Morus capensis,Cape Gannet,SULIFORMES,Sulidae,EN,1,1,0
Morus serrator,Australasian Gannet,SULIFORMES,Sulidae,LC,1,1,0
Nannopterum auritus,Double-crested Cormorant,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Nannopterum brasilianus,Neotropical Cormorant,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Nannopterum harrisi,Flightless Cormorant,SULIFORMES,Phalacrocoracidae,VU,1,0,1
