scientific,common,order,family,iucn,seabird_all,seabird_pelagic,seabird_coastal
Pterodroma arminjoniana,Trindade Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma atrata,Henderson Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma axillaris,Chatham Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma baraui,Barau's Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma brevipes,Collared Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma cahow,Bermuda Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma caribbaea,Jamaican Petrel,PROCELLARIIFORMES,Procellariidae,CR(PE),1,1,0
Pterodroma cervicalis,White-necked Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma cookii,Cook's Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma defilippiana,Masatierra Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma deserta,Desertas Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma externa,Juan Fernandez Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma feae,Cape Verde Petrel,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Pterodroma gouldi,Grey-faced Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma hasitata,Black-capped Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma heraldica,Herald Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma hypoleuca,Bonin Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma incerta,Atlantic Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma inexpectata,Mottled Petrel,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Pterodroma lessonii,White-headed Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma leucoptera,White-winged Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma longirostris,Stejneger's Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma macroptera,Great-winged Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma madeira,Zino's Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma magentae,Magenta Petrel,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Pterodroma mollis,Soft-plumaged Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma neglecta,Kermadec Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma nigripennis,Black-winged Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Pterodroma phaeopygia,Galapagos Petrel,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Pterodroma pycrofti,Pycroft's Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma sandwichensis,Hawaiian Petrel,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Pterodroma solandri,Providence Petrel,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pterodroma ultima,Murphy's Petrel,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Ptychoramphus aleuticus,Cassin's Auklet,CHARADRIIFORMES,Alcidae,NT,1,1,0
Puffinus assimilis,Little Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus auricularis,Townsend's Shearwater,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Puffinus bailloni,Tropical Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus bannermani,Bannerman's Shearwater,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Puffinus bryani,Bryan's Shearwater,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Puffinus elegans,Subantarctic Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus gavia,Fluttering Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus heinrothi,Heinroth's Shearwater,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Puffinus huttoni,Hutton's Shearwater,PROCELLARIIFORMES,Procellariidae,EN,1,1,0
Puffinus lherminieri,Audubon's Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus mauretanicus,Balearic Shearwater,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Puffinus myrtae,Rapa Shearwater,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Puffinus nativitatis,Christmas Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus newelli,Newell's Shearwater,PROCELLARIIFORMES,Procellariidae,CR,1,1,0
Puffinus opisthomelas,Black-vented Shearwater,PROCELLARIIFORMES,Procellariidae,NT,1,1,0
Puffinus persicus,Persian Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
