iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
70681387,Pavoraja umbrosa,Dusky Skate,2015,LC,360,730,NA,NA,NA,NA,NA,LC,0,2020-1
70682232,Pastinachus ater,Broad Cowtail Ray,2016,LC,0,60,NA,NA,NA,NA,NA,LC,0,2020-1
70682503,Pastinachus sephen,Cowtail Ray,2017,NT,0,60,NA,NA,NA,NA,NA,NT,0.2,2020-1
70686656,Myliobatis tenuicaudatus,Southern Eagle Ray,2016,LC,0,422,NA,NA,NA,NA,NA,LC,0,2020-1
70688138,Dipturus confusus,Longnose Skate,2016,CR,20,600,NA,NA,NA,NA,A2bd,CR,0.8,2020-1
70688333,Rajella challengeri,Challenger Skate,2015,LC,860,1500,NA,NA,NA,NA,NA,LC,0,2020-1
71711344,Stegostoma tigrinum Eastern Indonesian-Oceania subpopulation,Zebra Shark,2016,NT,0,62,NA,NA,NA,NA,NA,NT,0.2,2020-1
71711476,Stegostoma tigrinum Indian Ocean-Southeast Asian subpopulation,Zebra Shark,2019,EN,0,62,NA,NA,NA,NA,A2bd+3bd,EN,0.6,2020-1
71942692,Lampadena atlantica,NA,2019,LC,60,1000,NA,NA,NA,NA,NA,LC,0,2020-1
72050476,Arctocephalus australis Peruvian/Northern Chilean subpopulation,Peruvian Fur Seal,2016,VU,NA,170,5,NA,318556,998927,D2,VU,0.4,2020-1
72497402,Mugil margaritae,Mullet,2015,DD,0,10,NA,NA,NA,NA,NA,DD,NA,2020-1
74491261,Halichoerus grypus Baltic Sea subpopulation,Baltic Grey Seal,2016,LC,NA,NA,NA,NA,449816,958175,NA,LC,0,2020-1
75143569,Harpadon nehereus,Bombay Duck Lizardfish,2019,NT,0,70,NA,NA,NA,NA,NA,NT,0.2,2020-1
75146277,Saurida elongata,Slender Lizardfish,2020,LC,1,100,NA,NA,NA,NA,NA,LC,0,2020-1
75147101,Saurida isarankurai,Shortjaw Saury,2020,LC,40,100,NA,NA,NA,NA,NA,LC,0,2020-1
75147549,Saurida micropectoralis,Shortfin Lizardfish,2019,LC,20,260,NA,NA,NA,NA,NA,LC,0,2020-1
75150150,Chirocentrus dorab,Dorab Wolf Herring,2017,LC,0,120,NA,NA,NA,NA,NA,LC,0,2020-1
75153246,Amblygaster leiogaster,NA,2017,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
