iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
222,Acipenser brevirostrum,Shortnose Sturgeon,2004,VU,NA,NA,NA,NA,NA,NA,A2ce; B1ab(iii),VU,0.4,2020-1
224,Acipenser naccarii,Adriatic sturgeon,2011,CR,NA,NA,NA,NA,NA,NA,"A2bcde; B2ab(i,ii,iii,iv,v)",CR,0.8,2020-1
225,Acipenser nudiventris,Ship sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
229,Acipenser stellatus,Stellate sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
230,Acipenser sturio,Atlantic sturgeon,2010,CR,NA,NA,NA,NA,10,NA,"A2cde; B2ab(ii,iii,v)",CR,0.8,2020-1
232,Acipenser gueldenstaedtii,Russian sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2bcde,CR,0.8,2020-1
233,Acipenser medirostris,Green Sturgeon,2006,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
234,Acipenser transmontanus,White Sturgeon,2004,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
235,Acipenser persicus,Persian Sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
236,Acipenser sinensis,Chinese Sturgeon,2010,CR,NA,NA,NA,NA,8,NA,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",CR,0.8,2020-1
241,Acipenser mikadoi,Sakhalin Sturgeon,2010,CR,NA,NA,NA,NA,NA,NA,A2cde,CR,0.8,2020-1
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,2006,VU,NA,NA,NA,NA,NA,NA,A2cde,VU,0.4,2020-1
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,2006,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
245,Acipenser oxyrinchus,Gulf Sturgeon,2006,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
678,Agathothoma finalis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
907,Alosa immaculata,NA,2008,VU,NA,NA,NA,NA,NA,NA,B2ab(v),VU,0.4,2020-1
908,Alosa alabamae,Alabama Shad,2010,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
1086,Amblyrhynchus cristatus,Marine Iguana,2004,VU,NA,NA,NA,NA,NA,NA,B2ac(iv),VU,0.4,2020-1
1308,Anisotremus moricandi,Brownstriped Grunt,2015,LC,2,12,NA,NA,NA,NA,NA,LC,0,2020-1
1615,Choranthias salmopunctatus,NA,2015,LC,30,35,NA,NA,NA,NA,NA,LC,0,2020-1
1793,Aonyx capensis,African Clawless Otter,2015,NT,0,10,3000,0,NA,NA,NA,NT,0.2,2020-1
1866,Aplochiton marinus,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2055,Arctocephalus australis,South American Fur Seal,2016,LC,NA,600,5,NA,1973796,8591520,NA,LC,0,2020-1
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,2015,EN,0,115,5,0,109400,119277,A2ab,EN,0.6,2020-1
2058,Arctocephalus gazella,Antarctic Fur Seal,2016,LC,NA,181,50,NA,17531216,39315299,NA,LC,0,2020-1
2059,Arctocephalus philippii,Juan Fernández Fur Seal,2015,LC,0,170,5,0,1128008,3945710,NA,LC,0,2020-1
2060,Arctocephalus pusillus,Afro-Australian Fur Seal,2015,LC,NA,204,50,NA,828836,19612766,NA,LC,0,2020-1
2061,Arctocephalus townsendi,Guadalupe Fur Seal,2015,LC,0,82,5,0,503372,1496773,NA,LC,0,2020-1
2062,Arctocephalus tropicalis,Subantarctic Fur Seal,2015,LC,NA,208,50,NA,13434900,39445704,NA,LC,0,2020-1
2064,Arctocephalus australis ssp. australis,South American Fur Seal,2016,LC,NA,600,5,NA,1656296,3617248,NA,LC,0,2020-1
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,2015,LC,NA,204,50,NA,470040,3104650,NA,LC,0,2020-1
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,2015,LC,NA,200,5,NA,358800,1143109,NA,LC,0,2020-1
2113,Arius madagascariensis,Madagascar Sea Catfish,2016,LC,NA,NA,NA,NA,NA,63500,NA,LC,0,2020-1
2179,Assiminea infirma,Badwater Snail,1996,VU,NA,NA,NA,NA,NA,NA,B1+2c,VU,0.4,2020-1
2181,Assiminea palauensis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2182,Assiminea pecos,Pecos Assiminea,1996,EN,NA,NA,NA,NA,NA,NA,B1+2c,EN,0.6,2020-1
2218,Astraea heliotropium,NA,2000,LR/lc,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2352,Atherina boyeri,Black Sea Silverside,2008,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2467,Balaena mysticetus,Bowhead Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2468,Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation,Bowhead Whale Bering-Chukchi-Beaufort Seas subpopulation,1996,LR/cd,NA,NA,NA,NA,NA,NA,NA,VU,0.4,2020-1
2469,Balaena mysticetus Okhotsk Sea subpopulation,Okhotsk Sea Bowhead Whale,2018,EN,NA,NA,NA,NA,NA,NA,D,EN,0.6,2020-1
2472,Balaena mysticetus East Greenland-Svalbard-Barents Sea subpopulation,Bowhead Whale,2018,EN,NA,NA,NA,NA,NA,NA,D,EN,0.6,2020-1
2474,Balaenoptera acutorostrata,Common Minke Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2475,Balaenoptera borealis,Sei Whale,2018,EN,NA,NA,NA,NA,NA,NA,A1abd,EN,0.6,2020-1
2476,Balaenoptera edeni,Bryde's Whale,2018,LC,300,0,NA,NA,NA,NA,NA,LC,0,2020-1
2477,Balaenoptera musculus,Blue Whale,2018,EN,NA,NA,NA,NA,NA,NA,A1abd,EN,0.6,2020-1
2478,Balaenoptera physalus,Fin Whale,2018,VU,NA,NA,NA,NA,NA,NA,A1d,VU,0.4,2020-1
2480,Balaenoptera bonaerensis,Antarctic Minke Whale,2018,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
2539,Balistes vetula,Queen Triggerfish,2015,NT,0,275,NA,NA,NA,NA,NA,NT,0.2,2020-1
2621,Bathygobius burtoni,NA,2015,EN,0,5,NA,NA,150,NA,B2ab(iii),EN,0.6,2020-1
2636,Bathyraja abyssicola,Deepsea Skate,2015,DD,396,2904,NA,NA,NA,NA,NA,DD,NA,2020-1
2637,Batillaria mutata,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2644,Batrachoides manglae,Cotuero Toadfish,2015,LC,1,10,NA,NA,27727,173275,NA,LC,0,2020-1
2762,Berardius arnuxii,Arnoux's Beaked Whale,2008,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2763,Berardius bairdii,Baird's Beaked Whale,2008,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2811,Birgus latro,Coconut Crab,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
2895,Bostrychus zonatus,Sunset Gudgeon,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
2958,Brachionichthys hirsutus,Spotted Handfish,2020,CR,1,60,NA,NA,36,58,"B1ab(iii,v)",CR,0.8,2020-1
3381,Butis butis,Crimson-tipped Gudgeon,2017,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
3565,Callionymus sanctaehelenae,St Helena Dragonet,1996,CR,NA,NA,NA,NA,NA,NA,D,CR,0.8,2020-1
3590,Callorhinus ursinus,Northern Fur Seal,2015,VU,NA,207,10,NA,16996944,20302016,A2b,VU,0.4,2020-1
3764,Canthigaster rapaensis,NA,2014,EN,2,31,NA,NA,28,34179,B2ab(iii),EN,0.6,2020-1
3778,Caperea marginata,Pygmy Right Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
3851,Carcharhinus limbatus,Blacktip Shark,2009,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
3852,Carcharhinus obscurus,Dusky Shark,2019,EN,0,500,NA,NA,NA,NA,A2bd,EN,0.6,2020-1
3853,Carcharhinus plumbeus,Sandbar Shark,2009,VU,0,280,NA,NA,NA,NA,A2bd+4bd,VU,0.4,2020-1
3854,Carcharias taurus,Sand Tiger Shark,2009,VU,NA,NA,NA,NA,NA,NA,A2ab+3d,VU,0.4,2020-1
3855,Carcharodon carcharias,White Shark,2019,VU,0,1200,NA,NA,NA,NA,A2bd,VU,0.4,2020-1
3856,Carcinoscorpius rotundicauda,Horseshoe Crab,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
3897,Caretta caretta,Loggerhead Turtle,2017,VU,NA,NA,NA,NA,NA,NA,A2b,VU,0.4,2020-1
3898,Carettochelys insculpta,Pig-nosed Turtle,2018,EN,NA,NA,NA,NA,NA,NA,A2bd+4bd,EN,0.6,2020-1
4131,Centropyge resplendens,Resplendent Pygmy Angelfish,2010,LC,15,40,NA,NA,NA,NA,NA,LC,0,2020-1
4159,Cephalorhynchus commersonii,Commerson's Dolphin,2017,LC,0,NA,NA,NA,NA,NA,NA,LC,0,2020-1
4160,Cephalorhynchus eutropia,Chilean Dolphin,2017,NT,NA,0,0,NA,NA,NA,NA,NT,0.2,2020-1
4161,Cephalorhynchus heavisidii,Heaviside's Dolphin,2018,NT,0,200,NA,NA,NA,NA,NA,NT,0.2,2020-1
4162,Cephalorhynchus hectori,Hector's Dolphin,2013,EN,NA,NA,NA,NA,NA,NA,A4d,EN,0.6,2020-1
4292,Cetorhinus maximus,Basking Shark,2019,EN,0,1264,NA,NA,NA,NA,A2bd,EN,0.6,2020-1
4360,Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,2010,LC,35,80,NA,NA,NA,NA,NA,LC,0,2020-1
4361,Chaetodon litus,Easter Island Butterflyfish,2010,LC,1,25,NA,NA,NA,NA,NA,LC,0,2020-1
4362,Chaetodon marleyi,Doublesash Butterflyfish,2010,LC,NA,120,NA,NA,NA,NA,NA,LC,0,2020-1
4363,Prognathodes obliquus,Oblique Butterflyfish,2010,DD,55,100,NA,NA,NA,NA,NA,DD,NA,2020-1
4364,Chaetodon robustus,Three-banded Butterflyfish,2010,LC,3,70,NA,NA,NA,NA,NA,LC,0,2020-1
4592,Cheilinus undulatus,Humphead Wrasse,2004,EN,NA,NA,NA,NA,NA,NA,A2bd+3bd,EN,0.6,2020-1
4615,Chelonia mydas,Green Turtle,2004,EN,NA,NA,NA,NA,NA,NA,A2bd,EN,0.6,2020-1
4805,Chromis sanctaehelenae,St. Helena Chromis,2015,LC,5,35,NA,NA,64,NA,NA,LC,0,2020-1
4982,Clinus spatulatus,Bot River Klipfish,2014,EN,1,2,NA,NA,30,NA,"B2ab(iii,v)",EN,0.6,2020-1
5119,Collisella edmitchelli,NA,1996,EX,NA,NA,NA,NA,NA,NA,NA,EX,1,2020-1
5216,Conacmella vagans,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
5269,Conus africanus,NA,2012,LC,NA,NA,NA,NA,400,400,NA,LC,0,2020-1
5270,Conus cepasi,NA,2012,VU,NA,NA,NA,NA,40,40,D2,VU,0.4,2020-1
5271,Conus kohni,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
5272,Conus nobrei,NA,2012,NT,0,4,NA,NA,60,60,NA,NT,0.2,2020-1
5273,Conus zebroides,NA,2013,NT,2,3,NA,NA,220,1080,NA,NT,0.2,2020-1
5325,Emblemariopsis tayrona,Tayrona Blenny,2015,LC,0,20,NA,NA,NA,NA,NA,LC,0,2020-1
5362,Coregonus artedi,Cisco,1996,LR/lc,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
5486,Crassispira sacerdotalis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
5659,Crocodylus acutus,American Crocodile,2012,VU,NA,NA,1200,0,NA,NA,A2cd,VU,0.4,2020-1
5668,Crocodylus porosus,Saltwater Crocodile,1996,LR/lc,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
5675,Croilia mossambica,Burrowing Goby,2007,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
6069,Cymatium parthenopaeum,NA,2000,LR/lc,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
6202,Cysticus gutta,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
6203,Cysticus josephinae,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
6204,Cystophora cristata,Hooded Seal,2016,VU,NA,1000,3,NA,7861256,13499766,A3c,VU,0.4,2020-1
6229,Dalatias licha,Kitefin Shark,2018,VU,37,1800,NA,NA,NA,NA,A2bd+3d,VU,0.4,2020-1
6335,Delphinapterus leucas,Beluga Whale,2017,LC,0,956,0,NA,NA,NA,NA,LC,0,2020-1
6336,Delphinus delphis,Short-beaked Common Dolphin,2008,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
6337,Delphinus capensis,Long-beaked Common Dolphin,2008,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
6494,Dermochelys coriacea,Leatherback,2013,VU,0,1300,NA,NA,NA,NA,A2bd,VU,0.4,2020-1
6814,Dunckerocampus dactyliophorus,Banded Pipefish,2016,DD,0,60,NA,NA,NA,NA,NA,DD,NA,2020-1
6909,Dugong dugon,Dugong,2019,VU,NA,NA,NA,NA,NA,NA,A2bcd+4bcd,VU,0.4,2020-1
7011,Echinus esculentus,European Edible Sea Urchin,1996,LR/nt,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
7035,Edwardsia ivelli,Ivell's Sea Anemone,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
7134,Eleotris sandwicensis,Hawaii Spinecheek Gudgeon,2013,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
7135,Eleotris melanosoma,Broadhead Sleeper,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
7750,Enhydra lutris,Sea Otter,2015,EN,0,82,0,0,NA,NA,A2abe,EN,0.6,2020-1
7778,Entomacrodus cadenati,West African Rockhopper,2014,LC,0,3,NA,NA,NA,NA,NA,LC,0,2020-1
7854,Epinephelus drummondhayi,Speckled Hind,2018,DD,25,183,NA,NA,NA,NA,NA,DD,NA,2020-1
7855,Hyporthodus exsul,Tenspine Grouper,2018,LC,5,72,NA,NA,NA,NA,NA,LC,0,2020-1
7858,Epinephelus lanceolatus,Giant Grouper,2018,DD,1,100,NA,NA,NA,NA,NA,DD,NA,2020-1
7859,Epinephelus marginatus,Dusky Grouper,2018,VU,0,300,NA,NA,NA,NA,A2bd+4bd,VU,0.4,2020-1
7860,Hyporthodus nigritus,Warsaw Grouper,2018,NT,25,525,NA,NA,NA,NA,NA,NT,0.2,2020-1
7861,Hyporthodus niveatus,Snowy Grouper,2018,VU,10,525,NA,NA,NA,NA,A2bd+4bd,VU,0.4,2020-1
7862,Epinephelus striatus,Nassau Grouper,2018,CR,0,255,NA,NA,NA,NA,A4bd,CR,0.8,2020-1
8005,Eretmochelys imbricata,Hawksbill Turtle,2008,CR,NA,NA,NA,NA,NA,NA,A2bd,CR,0.8,2020-1
8010,Erignathus barbatus,Bearded Seal,2016,LC,NA,480,3,NA,8033684,35302141,NA,LC,0,2020-1
8012,Erignathus barbatus ssp. barbatus,Atlantic Bearded Seal,2016,LC,NA,480,3,NA,4746108,21323958,NA,LC,0,2020-1
8013,Erignathus barbatus ssp. nauticus,Pacific Bearded Seal,2015,LC,NA,480,3,NA,3290652,11796836,NA,LC,0,2020-1
8097,Eschrichtius robustus,Gray Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
8099,Eschrichtius robustus western subpopulation,Western Gray Whale,2018,EN,NA,NA,NA,NA,NA,NA,D,EN,0.6,2020-1
8153,Eubalaena australis,Southern Right Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
8239,Eumetopias jubatus,Steller Sea Lion,2016,NT,NA,427,5,NA,6599864,13015493,NA,NT,0.2,2020-1
8261,Eunice viridis,Samoan Palolo Worm,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
8262,Eunicella verrucosa,Pink Sea Fan,1996,VU,NA,NA,NA,NA,NA,NA,A1d,VU,0.4,2020-1
8407,Eurypegasus draconis,Short Dragonfish,2017,LC,3,91,NA,NA,NA,NA,NA,LC,0,2020-1
8408,Eurypegasus papilio,Hawaiian Sea-moth Fish,2016,LC,80,115,NA,NA,NA,NA,NA,LC,0,2020-1
8409,Eurypegasus draconis Philippines stock,Little Dragonfish,1996,VU,NA,NA,NA,NA,NA,NA,A2d,VU,0.4,2020-1
8551,Feresa attenuata,Pygmy Killer Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
8784,Gadus morhua,Atlantic Cod,1996,VU,NA,NA,NA,NA,NA,NA,A1bd,VU,0.4,2020-1
8817,Galaxias argenteus,Giant Kokopu,2014,VU,NA,NA,NA,NA,348,9654,A4ac,VU,0.4,2020-1
8951,Gasterosteus aculeatus,Threespined Stickleback,2019,LC,0,27,NA,NA,NA,NA,NA,LC,0,2020-1
9175,Gibberula cucullata,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
9176,Gibberula modica,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
9177,Gibberula puntillum,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
9249,Globicephala macrorhynchus,Short-finned Pilot Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
9250,Globicephala melas,Long-finned Pilot Whale,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
9266,Psammogobius biocellatus,Sleepy Goby,2017,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
9281,Glyphis gangeticus,Ganges Shark,2007,CR,NA,NA,NA,NA,NA,NA,A2cde; C2b,CR,0.8,2020-1
9461,Grampus griseus,Risso's Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
9463,Granulina parilis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
9660,Halichoerus grypus,Grey Seal,2016,LC,NA,412,3,NA,3543656,13518821,NA,LC,0,2020-1
10016,Heteropoma fulva,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10017,Heteropoma glabratum,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10018,Heteropoma pyramis,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10019,Heteropoma quadrasi,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10020,Heteropoma tuberculatum,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10021,Heteropoma turritum,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10030,Hexanchus griseus,Bluntnose Sixgill Shark,2009,NT,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
10056,Hippocampus capensis,Knysna Seahorse,2017,EN,0,20,NA,NA,27,300,"B1ab(iii,v)+2ab(iii,v)",EN,0.6,2020-1
10057,Hippocampus abdominalis,Pot-bellied Seahorse,2017,LC,0,104,NA,NA,NA,NA,NA,LC,0,2020-1
10060,Hippocampus bargibanti,Bargibant's Seahorse,2017,DD,5,40,NA,NA,NA,NA,NA,DD,NA,2020-1
10063,Hippocampus breviceps,Short-snouted Seahorse,2017,LC,0,15,NA,NA,NA,NA,NA,LC,0,2020-1
10064,Hippocampus camelopardalis,Giraffe Seahorse,2017,DD,0,45,NA,NA,NA,NA,NA,DD,NA,2020-1
10065,Hippocampus coronatus,High-crowned Seahorse,2016,DD,0,20,NA,NA,NA,NA,NA,DD,NA,2020-1
10066,Hippocampus erectus,Lined Seahorse,2017,VU,0,100,NA,NA,NA,NA,A2cd,VU,0.4,2020-1
10069,Hippocampus hippocampus,Short-snouted Seahorse,2017,DD,0,60,NA,NA,NA,NA,NA,DD,NA,2020-1
10070,Hippocampus histrix,Thorny Seahorse,2017,VU,0,82,NA,NA,NA,NA,A2cd+4cd,VU,0.4,2020-1
10072,Hippocampus ingens,Giant Seahorse,2017,VU,1,60,NA,NA,NA,NA,A2cd,VU,0.4,2020-1
10074,Hippocampus jayakari,Jayakar's Seahorse,2017,LC,0,20,NA,NA,NA,NA,NA,LC,0,2020-1
10075,Hippocampus kuda,Spotted Seahorse,2014,VU,0,55,NA,NA,NA,NA,A2cd+3cd+4cd,VU,0.4,2020-1
10077,Hippocampus minotaur,Bullneck Seahorse,2017,DD,64,110,NA,NA,NA,NA,NA,DD,NA,2020-1
10082,Hippocampus reidi,Long-snout Seahorse,2017,NT,0,55,NA,NA,NA,NA,NA,NT,0.2,2020-1
10083,Hippocampus sindonis,Sindo's Seahorse,2017,LC,0,75,NA,NA,NA,NA,NA,LC,0,2020-1
10087,Hippocampus trimaculatus,Three-spot Seahorse,2015,VU,10,100,NA,NA,NA,NA,A2bcd+4bcd,VU,0.4,2020-1
10088,Hippocampus whitei,White's Seahorse,2017,EN,0,12,NA,NA,NA,NA,A2bc,EN,0.6,2020-1
10089,Hippocampus zosterae,Dwarf Seahorse,2017,LC,0,10,NA,NA,23188,NA,NA,LC,0,2020-1
10097,Hippoglossus hippoglossus,Atlantic Halibut,1996,EN,NA,NA,NA,NA,NA,NA,A1d,EN,0.6,2020-1
10105,Hippopus hippopus,Horse's Hoof Clam,1996,LR/cd,NA,NA,NA,NA,NA,NA,NA,VU,0.4,2020-1
10106,Hippopus porcellanus,China Clam,1996,LR/cd,NA,NA,NA,NA,NA,NA,NA,VU,0.4,2020-1
10268,Huso dauricus,Kaluga,2010,CR,NA,NA,NA,NA,NA,NA,A2bd,CR,0.8,2020-1
10269,Huso huso,Beluga,2010,CR,NA,NA,NA,NA,NA,NA,A2bcd,CR,0.8,2020-1
10273,Huso huso Adriatic Sea stock,Beluga,1996,EX,NA,NA,NA,NA,NA,NA,NA,EX,1,2020-1
10303,Hydrodamalis gigas,Steller's Sea Cow,2016,EX,NA,NA,NA,NA,NA,NA,NA,EX,1,2020-1
10340,Hydrurga leptonyx,Leopard Seal,2015,LC,NA,304,3,NA,21547648,34454727,NA,LC,0,2020-1
10707,Hyperoodon ampullatus,Northern Bottlenose Whale,2008,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
10708,Hyperoodon planifrons,Southern Bottlenose Whale,2008,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
10724,Hypoplectrus providencianus,Masked Hamlet,2015,LC,7,15,NA,NA,NA,NA,NA,LC,0,2020-1
10939,Jenkinsia parvula,Venezuelan Herring,2017,DD,0,50,NA,NA,NA,NA,NA,DD,NA,2020-1
11030,Knipowitschia caucasica,NA,2008,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11047,Kogia breviceps,Pygmy Sperm Whale,2012,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
11048,Kogia sima,Dwarf Sperm Whale,2012,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
11060,Kuhlia marginata,Silver Flagtail,2019,LC,0,50,1,0,NA,NA,NA,LC,0,2020-1
11130,Lachnolaimus maximus,Hogfish,2010,VU,3,40,NA,NA,NA,NA,A2bd,VU,0.4,2020-1
11140,Lagenodelphis hosei,Fraser's Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11141,Lagenorhynchus acutus,Atlantic White-sided Dolphin,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11142,Lagenorhynchus albirostris,White-beaked Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11143,Lagenorhynchus australis,Peale's Dolphin,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11144,Lagenorhynchus cruciger,Hourglass Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11145,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
11146,Lagenorhynchus obscurus,Dusky Dolphin,2019,LC,0,200,NA,NA,NA,NA,NA,LC,0,2020-1
11150,Lagocephalus gloveri,Brown-backed Toadfish,2014,DD,1,100,NA,NA,NA,NA,NA,DD,NA,2020-1
11191,Ophioglossolambis violacea,NA,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
11200,Lamna nasus,Porbeagle,2019,VU,0,1809,NA,NA,NA,NA,A2bd,VU,0.4,2020-1
11368,Latiaxis babelis,NA,1996,LR/nt,NA,NA,NA,NA,NA,NA,NA,NT,0.2,2020-1
11375,Latimeria chalumnae,Coelacanth,2000,CR,NA,NA,NA,NA,NA,NA,A2bcd,CR,0.8,2020-1
11501,Lentipes concolor,Oopu Alamoo,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
11502,Lentipes whittenorum,NA,2019,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
11533,Lepidochelys kempii,Kemp's Ridley,2019,CR,NA,NA,NA,NA,292,20000,A2bd,CR,0.8,2020-1
11534,Lepidochelys olivacea,Olive Ridley,2008,VU,NA,NA,NA,NA,NA,NA,A2bd,VU,0.4,2020-1
11696,Leptonychotes weddellii,Weddell Seal,2015,LC,NA,600,3,NA,21547648,33454727,NA,LC,0,2020-1
11987,Limulus polyphemus,American Horseshoe Crab,2016,VU,NA,NA,NA,NA,NA,NA,A3bd,VU,0.4,2020-1
12103,Liosaccus pachygaster,NA,1996,VU,NA,NA,NA,NA,NA,NA,D2,VU,0.4,2020-1
12125,Lissodelphis borealis,Northern Right Whale Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
12126,Lissodelphis peronii,Southern Right Whale Dolphin,2018,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
12137,Lithognathus lithognathus,White Steenbras,2014,EN,0,25,NA,NA,146,NA,"A2bcd; B2ab(ii,v)",EN,0.6,2020-1
12242,Littoraria flammea,NA,1996,EX,NA,NA,NA,NA,NA,NA,NA,EX,1,2020-1
12244,Liza luciae,St. Lucia Mullet,1996,EN,NA,NA,NA,NA,NA,NA,B1+2ab+3a,EN,0.6,2020-1
12246,Lobodon carcinophaga,Crabeater Seal,2015,LC,NA,600,1100,NA,20665464,33459698,NA,LC,0,2020-1
12302,Lontra canadensis,North American River Otter,2015,LC,0,0,3000,0,NA,NA,NA,LC,0,2020-1
12303,Lontra felina,Marine Otter,2015,EN,0,50,10,0,NA,NA,A3cde,EN,0.6,2020-1
12305,Lontra provocax,Southern River Otter,2015,EN,0,50,300,0,NA,NA,A3cde,EN,0.6,2020-1
12382,Lottia alveus,Eelgrass Limpet,1996,EX,NA,NA,NA,NA,NA,NA,NA,EX,1,2020-1
12404,Luciogobius pallidus,Well Earthworm Goby,1996,DD,NA,NA,NA,NA,NA,NA,NA,DD,NA,2020-1
12416,Lutjanus analis,Mutton Snapper,2016,NT,1,95,NA,NA,NA,NA,NA,NT,0.2,2020-1
