iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
198617,Hygophum hygomii,LC,europe,0,LC
198618,Lampanyctus crocodilus,LC,mediterranean,0,LC
198618,Lampanyctus crocodilus,LC,europe,0,LC
198619,Lampanyctus pusillus,LC,mediterranean,0,LC
198619,Lampanyctus pusillus,LC,europe,0,LC
198620,Lobianchia dofleini,LC,mediterranean,0,LC
198620,Lobianchia dofleini,LC,europe,0,LC
198621,Notoscopelus bolini,LC,mediterranean,0,LC
198621,Notoscopelus bolini,LC,europe,0,LC
198622,Bellottia apoda,LC,mediterranean,0,LC
198622,Bellottia apoda,LC,europe,0,LC
198623,Cataetyx laticeps,LC,mediterranean,0,LC
198623,Cataetyx laticeps,LC,europe,0,LC
198624,Carapus acus,DD,mediterranean,NA,DD
198624,Carapus acus,LC,europe,0,LC
198625,Ophidion barbatum,LC,mediterranean,0,LC
198625,Ophidion barbatum,LC,europe,0,LC
198626,Alepocephalus rostratus,LC,mediterranean,0,LC
198626,Alepocephalus rostratus,LC,europe,0,LC
198627,Glossanodon leioglossus,LC,mediterranean,0,LC
198627,Glossanodon leioglossus,LC,europe,0,LC
198628,Microstoma microstoma,DD,mediterranean,NA,DD
198628,Microstoma microstoma,LC,europe,0,LC
198630,Gymnammodytes cicerelus,LC,mediterranean,0,LC
198630,Gymnammodytes cicerelus,DD,europe,NA,DD
198632,Scartella cristata,LC,mediterranean,0,LC
198632,Scartella cristata,LC,europe,0,LC
198633,Callanthias ruber,LC,mediterranean,0,LC
198633,Callanthias ruber,LC,europe,0,LC
198634,Callionymus lyra,LC,mediterranean,0,LC
198634,Callionymus lyra,LC,europe,0,LC
198635,Callionymus maculatus,LC,mediterranean,0,LC
198635,Callionymus maculatus,LC,europe,0,LC
198636,Callionymus pusillus,LC,mediterranean,0,LC
198636,Callionymus pusillus,LC,europe,0,LC
198637,Callionymus risso,LC,mediterranean,0,LC
198637,Callionymus risso,LC,europe,0,LC
198638,Synchiropus phaeton,LC,mediterranean,0,LC
198638,Synchiropus phaeton,LC,europe,0,LC
198640,Campogramma glaycos,DD,mediterranean,NA,DD
198640,Campogramma glaycos,LC,europe,0,LC
198641,Caranx rhonchus,LC,mediterranean,0,LC
198641,Caranx rhonchus,DD,europe,NA,DD
198642,Lichia amia,DD,mediterranean,NA,DD
198642,Lichia amia,LC,europe,0,LC
198643,Seriola dumerili,LC,mediterranean,0,LC
198643,Seriola dumerili,LC,europe,0,LC
198644,Trachinotus ovatus,LC,mediterranean,0,LC
198644,Trachinotus ovatus,LC,europe,0,LC
198645,Trachurus mediterraneus,LC,mediterranean,0,LC
198645,Trachurus mediterraneus,LC,europe,0,LC
198646,Trachurus picturatus,LC,mediterranean,0,LC
198646,Trachurus picturatus,LC,europe,0,LC
198647,Trachurus trachurus,LC,mediterranean,0,LC
198647,Trachurus trachurus,LC,europe,0,LC
198648,Schedophilus medusophagus,LC,mediterranean,0,LC
198648,Schedophilus medusophagus,LC,europe,0,LC
198649,Cepola macrophthalma,LC,mediterranean,0,LC
198649,Cepola macrophthalma,LC,europe,0,LC
198650,Remora australis,DD,mediterranean,NA,DD
198650,Remora australis,"NA",europe,NA,NA
198651,Remora remora,LC,mediterranean,0,LC
198651,Remora remora,LC,europe,0,LC
198652,Epigonus denticulatus,LC,mediterranean,0,LC
198652,Epigonus denticulatus,LC,europe,0,LC
198653,Epigonus telescopus,LC,mediterranean,0,LC
198653,Epigonus telescopus,DD,europe,NA,DD
198654,Crystallogobius linearis,LC,mediterranean,0,LC
198654,Crystallogobius linearis,LC,europe,0,LC
198655,Deltentosteus collonianus,LC,mediterranean,0,LC
198655,Deltentosteus collonianus,LC,europe,0,LC
198657,Gobius auratus,LC,mediterranean,0,LC
198657,Gobius auratus,LC,europe,0,LC
198659,Gobius couchi,DD,mediterranean,NA,DD
198659,Gobius couchi,LC,europe,0,LC
198660,Gobius cruentatus,LC,mediterranean,0,LC
198660,Gobius cruentatus,LC,europe,0,LC
198662,Gobius paganellus,LC,mediterranean,0,LC
198662,Gobius paganellus,LC,europe,0,LC
198663,Gobius roulei,DD,mediterranean,NA,DD
198663,Gobius roulei,LC,europe,0,LC
198664,Lebetus guilleti,DD,mediterranean,NA,DD
198664,Lebetus guilleti,LC,europe,0,LC
198665,Lesueurigobius friesii,LC,mediterranean,0,LC
198665,Lesueurigobius friesii,LC,europe,0,LC
198667,Pomatoschistus marmoratus,LC,mediterranean,0,LC
198667,Pomatoschistus marmoratus,LC,europe,0,LC
198668,Pomatoschistus minutus,VU,mediterranean,0.4,VU
198668,Pomatoschistus minutus,LC,europe,0,LC
198669,Thorogobius ephippiatus,LC,mediterranean,0,LC
198669,Thorogobius ephippiatus,LC,europe,0,LC
198670,Lobotes surinamensis,LC,mediterranean,0,LC
198670,Lobotes surinamensis,LC,europe,0,LC
198671,Dicentrarchus punctatus,LC,mediterranean,0,LC
198671,Dicentrarchus punctatus,LC,europe,0,LC
198673,Mullus barbatus,LC,mediterranean,0,LC
198673,Mullus barbatus,LC,europe,0,LC
198674,Mullus surmuletus,LC,mediterranean,0,LC
198674,Mullus surmuletus,DD,europe,NA,DD
198675,Cubiceps capensis,DD,mediterranean,NA,DD
198675,Cubiceps capensis,LC,europe,0,LC
198676,Cubiceps gracilis,DD,mediterranean,NA,DD
198676,Cubiceps gracilis,LC,europe,0,LC
198706,Argyrosomus regius,LC,mediterranean,0,LC
198706,Argyrosomus regius,LC,europe,0,LC
198707,Sciaena umbra,VU,mediterranean,0.4,VU
198707,Sciaena umbra,NT,europe,0.2,NT
198708,Umbrina canariensis,DD,mediterranean,NA,DD
198708,Umbrina canariensis,LC,europe,0,LC
198709,Umbrina cirrosa,VU,mediterranean,0.4,VU
198709,Umbrina cirrosa,VU,europe,0.4,VU
198710,Umbrina ronchus,DD,mediterranean,NA,DD
198710,Umbrina ronchus,LC,europe,0,LC
198711,Anthias anthias,LC,mediterranean,0,LC
198711,Anthias anthias,LC,europe,0,LC
198712,Serranus hepatus,LC,mediterranean,0,LC
198712,Serranus hepatus,LC,europe,0,LC
198713,Serranus scriba,LC,mediterranean,0,LC
198713,Serranus scriba,LC,europe,0,LC
198714,Sphyraena viridensis,LC,mediterranean,0,LC
198714,Sphyraena viridensis,DD,europe,NA,DD
198715,Stromateus fiatola,DD,mediterranean,NA,DD
198715,Stromateus fiatola,LC,europe,0,LC
198716,Tetragonurus cuvieri,LC,mediterranean,0,LC
198716,Tetragonurus cuvieri,LC,europe,0,LC
198718,Trachinus araneus,LC,mediterranean,0,LC
198718,Trachinus araneus,LC,europe,0,LC
198719,Trachinus draco,LC,mediterranean,0,LC
198719,Trachinus draco,LC,europe,0,LC
198720,Trachinus radiatus,LC,mediterranean,0,LC
198720,Trachinus radiatus,LC,europe,0,LC
198721,Lepidopus caudatus,LC,mediterranean,0,LC
198721,Lepidopus caudatus,LC,europe,0,LC
198722,Uranoscopus scaber,LC,mediterranean,0,LC
198722,Uranoscopus scaber,LC,europe,0,LC
198723,Melanostigma atlanticum,DD,mediterranean,NA,DD
198723,Melanostigma atlanticum,LC,europe,0,LC
198724,Arnoglossus laterna,LC,mediterranean,0,LC
198724,Arnoglossus laterna,LC,europe,0,LC
198725,Bothus podas,LC,mediterranean,0,LC
198725,Bothus podas,LC,europe,0,LC
198726,Citharus linguatula,LC,mediterranean,0,LC
198726,Citharus linguatula,LC,europe,0,LC
198727,Symphurus ligulatus,LC,mediterranean,0,LC
198727,Symphurus ligulatus,LC,europe,0,LC
198728,Symphurus nigrescens,LC,mediterranean,0,LC
198728,Symphurus nigrescens,LC,europe,0,LC
