iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
18160428,Lesueurigobius sanzi,LC,europe,0,LC
18160456,Ponticola cephalargoides,LC,europe,0,LC
18160468,Ponticola platyrostris,LC,europe,0,LC
18160573,Pomatoschistus lozanoi,LC,europe,0,LC
18161514,Vanneaugobius pruvoti,LC,europe,0,LC
18179793,Aphanopus carbo,LC,europe,0,LC
18179796,Benthodesmus simonyi,LC,europe,0,LC
18180983,Pachycara bulbiceps,DD,europe,NA,DD
18180998,Pachycara crassiceps,DD,europe,NA,DD
18214503,Arnoglossus grohmanni,DD,europe,NA,DD
18214863,Limanda limanda,LC,europe,0,LC
18227064,Phrynorhombus norvegicus,LC,europe,0,LC
18227109,Cyema atrum,LC,europe,0,LC
18227119,Eurypharynx pelecanoides,LC,europe,0,LC
18227123,Saccopharynx ampullaceus,DD,europe,NA,DD
18227168,Agonus cataphractus,LC,europe,0,LC
18237151,Micrenophrys lilljeborgii,LC,europe,0,LC
18237502,Careproctus aciculipunctatus,DD,europe,NA,DD
18237516,Careproctus merretti,DD,europe,NA,DD
18237707,Liparis montagui,LC,europe,0,LC
18237712,Paraliparis abyssorum,DD,europe,NA,DD
18237739,Paraliparis bipolaris,DD,europe,NA,DD
18237772,Paraliparis hystrix,DD,europe,NA,DD
18237775,Psednos spirohira,DD,europe,NA,DD
18237796,Cottunculus konstantinovi,DD,europe,NA,DD
18238049,Scopelogadus beanii,LC,europe,0,LC
18252612,Cyclothone acclinidens,LC,europe,0,LC
18252616,Cyclothone livida,LC,europe,0,LC
18252619,Cyclothone pallida,LC,europe,0,LC
18252629,Cyclothone pseudopallida,LC,europe,0,LC
18252702,Diplophos taenia,LC,europe,0,LC
18252718,Gonostoma elongatum,LC,europe,0,LC
18252849,Margrethia obtusirostra,LC,europe,0,LC
18252853,Sigmops bathyphilus,LC,europe,0,LC
18252941,Polymetme corythaeola,LC,europe,0,LC
18252952,Vinciguerria nimbaria,LC,europe,0,LC
18253276,Argyropelecus aculeatus,LC,europe,0,LC
18253282,Argyropelecus gigas,LC,europe,0,LC
18253287,Argyropelecus olfersii,LC,europe,0,LC
